bib;name;gender;Club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;chiptime;
73;Espen Johnsen;M;Bergen MTB Klubb;Menn;06:17.0;7;03:33.0;5; 04:49.0;4; 10:00.0;4; 02:37.0;1; 04:41.0;3;31:57.0;00:59.0
89;Bård Pettersen;M;Drammen CK;Menn;06:19.0;8;03:35.0;6; 04:57.0;10; 09:38.0;1; 03:04.0;9; 04:53.0;6;32:26.0;01:28.0
91;Lars Sandviken;M;Drammen CK;Menn;06:07.0;4;03:32.0;3; 04:50.0;5; 10:19.0;5; 02:56.0;4; 04:44.0;4;32:28.0;01:30.0
79;Preben Nøkleby;M;Bergen MTB Klubb;Menn;06:15.0;6;03:35.0;6; 04:56.0;8; 10:38.0;9; 03:02.0;7; 05:04.0;9;33:30.0;02:32.0
95;Niclas S. Andersen;M;Drøbak-Frogn IL Sykkel;Menn;06:35.0;14;03:20.0;2; 05:11.0 ;22; 10:37.0;8; 03:15.0;22; 04:45.0;5;33:43.0;02:45.0
171;Emil Aamli Carlson;M;SK Rye sykkel;Menn;06:14.0;5;03:43.0;13; 04:58.0 ;11; 10:35.0;7; 03:03.0;8; 05:10.0;14;33:43.0;02:45.0
50;Johan Geschwind;M;;Menn;06:44.0;23;03:43.0;13; 04:56.0 ;8; 10:43.0;10; 03:01.0;6; 05:04.0;9;34:11.0;03:13.0
14;Jon Bokrantz;M;;Menn;06:04.0;3;03:38.0;9; 04:52.0;6; 11:45.0;31; 02:57.0;5; 05:05.0;11;34:21.0;03:23.0
148;Nicklas Fastegård;M;Oppdal SK;Menn;06:32.0;12;03:44.0;16; 05:09.0 ;17; 10:57.0;13; 03:07.0;10; 05:05.0;11;34:34.0;03:36.0
134;Sigurd Salberg PEDERSEN;M;Lillehammer CK;Menn;06:47.0;24;03:51.0;24; 04:53.0 ;7; 10:54.0;11; 03:12.0;16; 04:59.0;7;34:36.0;03:38.0
188;Ove Grøndal;M;Andebarkji TSK;Menn;06:23.0;9;03:43.0;13; 04:59.0 ;12; 11:23.0;25; 03:09.0;12; 05:03.0;8;34:40.0;03:42.0
119;Simon Johansson;M;IK Hero;Menn;06:28.0;11;03:45.0;17; 05:16.0 ;29; 10:54.0;11; 03:07.0;10; 05:22.0;21;34:52.0;03:54.0
191;Michael Overbeck Cook;M;IK Hero;Menn;06:25.0;10;03:47.0;19; 05:08.0 ;15; 11:00.0;16; 03:12.0;16; 05:27.0;30;34:59.0;04:01.0
75;Isak Leivsson;M;Bergen MTB Klubb;Menn;06:32.0;12;03:40.0;11; 05:15.0;27; 11:33.0;28; 03:13.0;19; 05:11.0;15;35:24.0;04:26.0
146;Andreas Øhrn;M;Oppdal SK;Menn;06:39.0;17;03:39.0;10; 05:11.0;22; 10:59.0;15; 03:26.0;39; 05:35.0;35;35:29.0;04:31.0
111;Erlend Hegrum Askjer;M;Horten OCK;Menn;06:50.0;27;03:48.0;22; 05:09.0;17; 11:03.0;17; 03:18.0;25; 05:26.0;27;35:34.0;04:36.0
76;Thorstein Gallefoss;M;Bergen MTB Klubb;Menn;06:40.0;19;03:47.0;19; 05:09.0;17; 11:40.0;30; 03:21.0;28; 05:18.0;20;35:55.0;04:57.0
52;Manfred Kronbrink;M;;Menn;06:56.0;30;03:40.0;11; 05:07.0;14; 11:08.0;19; 03:37.0;56; 05:28.0;31;35:56.0;04:58.0
5;Samuel Jacobsson;M;;Menn;06:56.0;30;03:56.0;30; 05:02.0;13; 11:14.0;20; 03:31.0;46; 05:23.0;23;36:02.0;05:04.0
131;Magnus Faanes;M;Lillehammer CK;Menn;07:04.0;36;03:55.0;27; 05:10.0;20; 11:22.0;23; 03:12.0;16; 05:22.0;21;36:05.0;05:07.0
55;Joakim Rissveds;M;;Menn;06:50.0;27;03:58.0;35; 05:08.0;15; 11:03.0;17; 03:58.0;80; 05:11.0;15;36:08.0;05:10.0
65;Baard Hellebostad;M;Aron Skiklubb;Menn;06:52.0;29;04:02.0;38; 05:29.0;43; 11:15.0;21; 03:13.0;19; 05:23.0;23;36:14.0;05:16.0
179;Johannes LUND;M;Sogn CK;Menn;07:00.0;33;03:57.0;31; 05:17.0;31; 11:47.0;32; 03:14.0;21; 05:13.0;17;36:28.0;05:30.0
100;Pål Grotnes;M;Gresvik IF;Menn;07:06.0;37;03:57.0;31; 05:31.0;50; 11:25.0;26; 03:21.0;28; 05:09.0;13;36:29.0;05:31.0
141;Pål Nakken;M;Molde CK;Menn;06:47.0;24;03:48.0;22; 05:14.0;26; 12:08.0;37; 03:10.0;14; 05:24.0;25;36:31.0;05:33.0
93;Simen Kalnæs Danielsen;M;Drøbak-Frogn IL Sykkel;Menn;06:57.0;32;04:07.0;43; 05:21.0;34; 11:47.0;32; 03:15.0;22; 05:26.0;27;36:53.0;05:55.0
162;Eirik Lind Hånes;M;SK Rye sykkel;Menn;07:03.0;35;04:11.0;45; 05:21.0;34; 11:35.0;29; 03:21.0;28; 05:25.0;26;36:56.0;05:58.0
178;Øyvind Sætra;M;Sogn CK;Menn;07:21.0;47;04:16.0;54; 05:27.0;41; 11:18.0;22; 03:26.0;39; 05:13.0;17;37:01.0;06:03.0
115;Frikk Hess-Bolstad;M;IK Hero;Menn;07:02.0;34;03:51.0;24; 05:38.0;67; 11:22.0;23; 03:47.0;68; 05:28.0;31;37:08.0;06:10.0
107;Magnus Grønberg;M;Hemsedal IL Sykkel;Menn;07:17.0;43;04:02.0;38; 05:30.0;47; 12:26.0;43; 03:22.0;33; 05:36.0;39;38:13.0;07:15.0
35;Terje Nylende;M;;Menn;07:31.0;53;03:55.0;27; 05:18.0;32; 10:57.0;13; 05:10.0;116; 05:26.0;27;38:17.0;07:19.0
83;Aslak Mørstad;M;Bjørndal IF Sykkel;Menn;07:16.0;42;04:20.0;62; 05:32.0;55; 12:07.0;36; 03:34.0;50; 05:35.0;35;38:24.0;07:26.0
185;Erik Olsson;M;Trysil SK;Menn;07:24.0;49;03:57.0;31; 05:22.0;37; 12:36.0;46; 03:25.0;37; 05:44.0;44;38:28.0;07:30.0
84;Kenneth Lømo;M;CK Elverum;Menn;07:34.0;56;04:27.0;76; 05:24.0;38; 12:03.0;35; 03:21.0;28; 05:45.0;47;38:34.0;07:36.0
2;Jonathan Sandberg;M;;Menn;07:20.0;45;04:18.0;59; 05:12.0;24; 12:11.0;38; 03:23.0;34; 06:12.0;75;38:36.0;07:38.0
71;Kristoffer Engen;M;Bærum OCK;Menn;07:23.0;48;04:15.0;52; 05:43.0;77; 12:24.0;42; 03:23.0;34; 05:35.0;35;38:43.0;07:45.0
123;Morgan Bakken;M;Kragerø SK;Menn;07:12.0;39;04:19.0;60; 05:36.0;65; 12:22.0;40; 03:27.0;42; 05:51.0;54;38:47.0;07:49.0
46;Sandro Ender;M;;Menn;06:47.0;24;05:55.0;128; 05:15.0;27; 11:59.0;34; 03:18.0;25; 05:35.0;35;38:49.0;07:51.0
127;Oscar Schiøtz Smith;M;Kristiansands CK;Menn;07:43.0;63;04:11.0;45; 05:28.0;42; 12:52.0;52; 03:11.0;15; 05:33.0;34;38:58.0;08:00.0
182;Lukasz Szewczyk;M;Tasta OSK;Menn;08:03.0;79;04:06.0;40; 05:30.0;47; 12:22.0;40; 03:23.0;34; 05:41.0;43;39:05.0;08:07.0
15;Tommy Folkøy;M;;Menn;07:40.0;61;04:17.0;57; 05:31.0;50; 13:02.0;57; 03:32.0;47; 05:32.0;33;39:34.0;08:36.0
29;Rasmus Borrman;M;;Menn;07:20.0;45;04:11.0;45; 05:26.0;40; 13:29.0;69; 03:30.0;45; 05:39.0;41;39:35.0;08:37.0
61;Anders Samnøy;M;Aron Skiklubb;Menn;07:17.0;43;04:21.0;64; 05:25.0;39; 13:06.0;59; 03:34.0;50; 06:12.0;75;39:55.0;08:57.0
97;Eirik Semb;M;Follo SK;Menn;07:30.0;52;03:55.0;27; 05:40.0;69; 13:38.0;72; 03:29.0;44; 05:47.0;49;39:59.0;09:01.0
175;Markus Sannebro;M;Sogn CK;Menn;07:07.0;38;04:16.0;54; 05:34.0;60; 13:55.0;76; 03:26.0;39; 05:46.0;48;40:04.0;09:06.0
155;Frank Seidel;M;SK Rye sykkel;Menn;07:32.0;55;04:31.0;80; 05:53.0;88; 12:42.0;47; 03:39.0;59; 05:55.0;61;40:12.0;09:14.0
80;Arild Gravdal;M;Bergen MTB Klubb;Menn;07:37.0;59;04:22.0;65; 05:42.0;73; 12:56.0;54; 03:50.0;69; 05:59.0;63;40:26.0;09:28.0
125;Ole André Tveit;M;Kragerø SK;Menn;08:00.0;77;04:36.0;84; 05:40.0;69; 12:43.0;48; 03:40.0;60; 05:51.0;54;40:30.0;09:32.0
67;Jørgen Heir;M;Aron Skiklubb;Menn;07:13.0;40;03:58.0;35; 05:29.0;43; 12:12.0;39; 03:20.0;27; 08:20.0;115;40:32.0;09:34.0
120;Philip Bjørkesett;M;IK Hero;Menn;07:44.0;64;04:24.0;72; 05:50.0;86; 13:07.0;61; 03:27.0;42; 06:00.0;65;40:32.0;09:34.0
92;Rune Sten Nilsen;M;Drammen CK;Menn;07:48.0;69;04:24.0;72; 05:33.0;57; 13:22.0;67; 03:35.0;52; 05:52.0;57;40:34.0;09:36.0
138;Kenneth Bjørseth;M;Molde CK;Menn;07:31.0;53;04:26.0;75; 05:32.0;55; 13:54.0;75; 03:33.0;48; 05:47.0;49;40:43.0;09:45.0
189;Frank Jonny Brenno;M;Andebarkji TSK;Menn;07:53.0;72;04:08.0;44; 05:31.0;50; 13:17.0;65; 03:51.0;72; 06:06.0;69;40:46.0;09:48.0
32;Espen Kebely;M;;Menn;07:52.0;71;04:32.0;81; 05:42.0;73; 13:01.0;55; 03:52.0;74; 05:52.0;57;40:51.0;09:53.0
36;Adam Eriksson;M;;Menn;07:25.0;50;04:43.0;89; 06:07.0;102; 12:49.0;51; 03:37.0;56; 06:13.0;79;40:54.0;09:56.0
54;Vegard Arnesen;M;;Menn;07:56.0;74;04:30.0;79; 05:49.0;84; 13:19.0;66; 03:25.0;37; 05:56.0;62;40:55.0;09:57.0
30;Oskar Hassellöf;M;;Menn;08:24.0;93;04:22.0;65; 05:40.0;69; 12:46.0;49; 03:36.0;54; 06:08.0;70;40:56.0;09:58.0
157;Andreas Gjærde;M;SK Rye sykkel;Menn;07:57.0;76;04:24.0;72; 05:44.0;78; 13:11.0;62; 03:50.0;69; 05:53.0;59;40:59.0;10:01.0
21;Jon-Gunnar Fredriksen;M;;Menn;08:16.0;87;04:23.0;69; 05:44.0;78; 13:04.0;58; 03:42.0;63; 05:53.0;59;41:02.0;10:04.0
25;Christian Albihn;M;;Menn;07:53.0;72;04:27.0;76; 05:44.0;78; 13:31.0;70; 03:33.0;48; 05:59.0;63;41:07.0;10:09.0
20;Øyvind Hem;M;;Menn;07:51.0;70;04:22.0;65; 06:02.0;99; 12:47.0;50; 03:59.0;82; 06:34.0;86;41:35.0;10:37.0
3;Jean-Christophe Barbier;M;;Menn;08:11.0;83;04:39.0;85; 05:49.0;99; 12:47.0;50; 03:59.0;82; 06:34.0;86;41:38.0;10:40.0
43;Oskar Grannas;M;;Menn;09:39.0;120;04:16.0;54; 05:19.0;33; 13:14.0;64; 03:35.0;52; 05:47.0;49;41:50.0;10:52.0
88;Karl Kristian Bye;M;CK Nittedal;Menn;09:22.0;113;04:20.0;62; 05:42.0;73; 13:06.0;59; 03:36.0;54; 05:51.0;54;41:57.0;10:59.0
42;Joakim Karlsson;M;;Menn;07:56.0;74;04:17.0;57; 05:45.0;73; 13:06.0;59; 03:36.0;54; 05:51.0;54;42:13.0;11:15.0
77;Leiv Tvenning;M;Bergen MTB Klubb;Menn;07:45.0;65;04:55.0;100; 05:53.0;88; 13:24.0;68; 03:46.0;65; 06:38.0;89;42:21.0;11:23.0
7;Sven Leininger;M;;Menn;08:14.0;86;04:43.0;89; 05:59.0;94; 13:59.0;77; 04:04.0;88; 05:38.0;40;42:37.0;11:39.0
137;Eirik Pettersen;M;Lillehammer CK;Menn;09:01.0;106;04:34.0;82; 05:34.0;60; 13:51.0;73; 03:53.0;76; 05:47.0;49;42:40.0;11:42.0
181;Filip Hoel;M;Stovnerkameratene;Menn;10:07.0;127;04:23.0;69; 05:33.0;57; 13:13.0;63; 03:58.0;80; 05:44.0;44;42:58.0;12:00.0
11;Mikel Cadinanos;M;;Menn;07:39.0;60;04:14.0;50; 05:30.0;47; 16:05.0;100; 03:40.0;60; 06:04.0;67;43:12.0;12:14.0
164;Trygve Nyborg;M;SK Rye sykkel;Menn;07:41.0;62;04:57.0;102; 06:05.0;100; 14:10.0;80; 04:08.0;90; 06:20.0;83;43:21.0;12:23.0
68;Martin Myrvang;M;Aron Skiklubb;Menn;08:04.0;80;05:11.0;109; 05:59.0;94; 14:04.0;78; 03:54.0;77; 06:13.0;79;43:25.0;12:27.0
40;Martin Borlaug;M;;Menn;07:27.0;51;04:40.0;88; 06:19.0;108; 15:23.0;92; 04:09.0;92; 06:17.0;82;44:15.0;13:17.0
102;Håkon Skålnes;M;Hashtagenduro;Menn;08:34.0;95;05:09.0;107; 06:35.0;120; 14:10.0;80; 03:50.0;69; 06:08.0;70;44:26.0;13:28.0
112;Andreas Strømsvåg Francke;M;IF Frøy;Menn;09:34.0;119;04:46.0;93; 06:00.0;97; 14:09.0;79; 04:16.0;97; 06:08.0;70;44:53.0;13:55.0
174;Tage Rickard Sundell;M;Sogn CK;Menn;09:18.0;111;05:07.0;104;05:38.0;67; 14:59.0;88; 04:05.0;89;05:48.0;53;44:55.0;13:57.0
133;Tom Ruud;M;Lillehammer CK;Menn;08:11.0;83;04:39.0;85; 05:55.0;90; 15:28.0;94; 03:56.0;78; 06:53.0;93;45:02.0;14:04.0
78;Lars Tveito;M;Bergen MTB Klubb;Menn;08:57.0;101;04:52.0;98; 06:30.0;117; 14:24.0;84; 03:52.0;74; 06:29.0;84;45:04.0;14:06.0
114;Emil Gyllenhammar;M;IK Hero;Menn;09:19.0;112;04:45.0;91; 05:40.0;69; 15:29.0;96; 03:59.0;82; 06:09.0;73;45:21.0;14:23.0
85;Knut Erik Håberget;M;CK Elverum;Menn;08:46.0;99;04:53.0;99; 05:58.0;69; 15:29.0;96; 03:59.0;82; 06:09.0;73;45:25.0;14:27.0
177;Stian LIE;M;Sogn CK;Menn;08:43.0;97;04:51.0;96; 06:01.0;98; 15:03.0;89; 04:25.0;104; 06:40.0;90;45:43.0;14:45.0
28;Geir Jørgensen;M;;Menn;08:18.0;89;04:45.0;91; 06:22.0;109; 14:58.0;86; 04:23.0;103; 07:09.0;104;45:55.0;14:57.0
4;Adrian Hörnqvist;M;;Menn;07:46.0;66;04:06.0;40; 05:31.0;50; 18:52.0;117; 03:40.0;60; 06:03.0;66;45:58.0;15:00.0
18;Audun Wichmann;M;;Menn;09:46.0;124;04:56.0;101;05:59.0;94; 15:18.0;91; 04:03.0;86;06:04.0;67;46:06.0;15:08.0
47;Stian Engebretsen;M;;Menn;08:40.0;96;05:13.0;110; 06:27.0;115; 14:55.0;85; 04:22.0;100; 06:53.0;93;46:30.0;15:32.0
6;Yannick Menneron;M;;Menn;08:58.0;103;05:18.0;112;05:52.0;87; 15:51.0;98; 04:00.0;84;06:37.0;88;46:36.0;15:38.0
124;Rune Erik Storhaug;M;Kragerø SK;Menn;09:15.0;110;05:04.0;103;05:47.0;82; 14:58.0;86; 04:55.0;109;06:59.0;98;46:58.0;16:00.0
33;Matthias Nyhage;M;;Menn;08:45.0;98;05:23.0;113; 06:34.0;119; 15:23.0;92; 04:08.0;90; 07:05.0;100;47:18.0;16:20.0
38;Colin Furmston;M;;Menn;09:22.0;113;05:08.0;105;06:26.0;114; 15:28.0;94; 04:22.0;100;06:49.0;91;47:35.0;16:37.0
186;Geir Nummedal;M;Voss MTB Klubb;Menn;14:23.0;135;04:12.0;48; 05:31.0;50; 13:32.0;71; 03:46.0;65; 06:12.0;75;47:36.0;16:38.0
145;Roy Ripe;M;Nesodden SK;Menn;08:21.0;92;05:29.0;117; 06:10.0;104; 16:45.0;105; 04:21.0;98; 06:54.0;96;48:00.0;17:02.0
34;Will Orrell;M;;Menn;08:55.0;100;05:30.0;119;06:27.0;115; 15:55.0;99; 04:43.0;108;07:07.0;102;48:37.0;17:39.0
74;Mads Øftshus;M;Bergen MTB Klubb;Menn;09:08.0;108;05:08.0;105;06:23.0;112; 16:55.0;106; 04:22.0;100;07:00.0;99;48:56.0;17:58.0
27;Ole Moksnes;M;;Menn;09:45.0;123;05:33.0;120;06:43.0;122; 16:06.0;101; 04:15.0;96;07:06.0;101;49:28.0;18:30.0
45;Jesper Andersen Ekelund;M;;Menn;09:22.0;113;05:46.0;126;06:42.0;121; 16:39.0;103; 04:14.0;95;06:54.0;96;49:37.0;18:39.0
19;Magnus Hauan;M;;Menn;08:20.0;91;04:39.0;85; 06:16.0;106; 20:36.0;118; 03:42.0;63; 06:50.0;95;50:23.0;19:25.0
172;Nicolas Yann Couturier;M;SK Rye sykkel;Menn;09:43.0;122;05:29.0;117;06:16.0;106; 17:03.0;108; 05:02.0;114;07:13.0;106;50:46.0;19:48.0
116;Lars Krogstad Lien;M;IK Hero;Menn;10:01.0;126;05:44.0;125;06:43.0;122; 16:22.0;102; 05:05.0;115;07:10.0;105;51:05.0;20:07.0
23;Thomas Ramstad;M;;Menn;08:59.0;104;05:10.0;108;06:25.0;113; 18:08.0;115; 04:58.0;110;07:39.0;112;51:19.0;20:21.0
156;Frode Kristian Møller Ditlefsen;M;SK Rye sykkel;Menn;10:18.0;128;05:35.0;121;06:22.0;109; 17:33.0;111; 04:26.0;106;07:22.0;108;51:36.0;20:38.0
1;Henrik Moberg;M;;Menn;09:33.0;118;06:04.0;130;06:54.0;127; 17:01.0;107; 04:25.0;104;07:45.0;113;51:42.0;20:44.0
24;Emil Melkersson;M;;Menn;16:01.0;137;04:22.0;65; 05:42.0;73; 15:33.0;97; 04:02.0;85; 06:10.0;74;51:50.0;20:52.0
143;David Gabrielsen;M;Nesodden SK;Menn;09:51.0;125;06:07.0;131;06:45.0;125; 17:08.0;109; 05:01.0;112;07:08.0;103;52:00.0;21:02.0
39;Anton Åkerman;M;;Menn;09:24.0;117;05:53.0;127;06:43.0;122; 20:45.0;119; 03:57.0;79;07:38.0;111;54:20.0;23:22.0
81;Anders Veland;M;Bergen MTB Klubb;Menn;22:40.0;143;04:15.0;52; 05:36.0;65; 12:29.0;44; 03:37.0;56; 05:44.0;44;54:21.0;23:23.0
13;Anton Thorén;M;;Menn;08:31.0;94;05:24.0;114; 07:02.0;129; 18:25.0;116; 04:21.0;98; 11:18.0;118;55:01.0;24:03.0
94;Knut Espen Bryhn;M;Drøbak-Frogn IL Sykkel;Menn;10:28.0;129;07:31.0;136;07:38.0;133; 17:40.0;112; 04:58.0;110;07:21.0;107;55:36.0;24:38.0
53;Stein Kåre Øfjord;M;;Menn;11:06.0;131;06:21.0;132;06:58.0;128; 17:42.0;113; 05:01.0;112;08:42.0;116;55:50.0;24:52.0
16;Joar Sørvik Solem;M;;Menn;06:40.0;19;03:58.0;35; 05:16.0;29; 34:03.0;123; 03:15.0;22; 05:17.0;19;58:29.0;27:31.0
37;Faruk Dokara;M;;Menn;19:53.0;140;05:35.0;121;06:22.0;109; 17:58.0;114; 05:34.0;117;07:31.0;110;01:02:53.0;31:55.0
122;Morten Ligård;M;Kongsberg IF Sykkel;Menn;26:38.0;144;05:28.0;116;06:31.0;118; 17:09.0;110; 04:12.0;93;07:29.0;109;01:07:27.0;36:29.0
101;Christian Coll;M;Grimstad SK;Menn;08:02.0;78;04:23.0;69; 05:29.0;43; 12:30.0;45; 36:10.0;120; 05:40.0;42;01:12:14.0;41:16.0
98;Hallvard Futterer-Wannebo;M;Follo SK;Menn;36:55.0;145;04:50.0;95; 06:09.0;103; 16:43.0;104; 04:30.0;107; 06:53.0;93;01:16:00.0;45:02.0
86;Even Hægland;M;CK Henie;Menn;14:22.0;134;09:22.0;137;09:33.0;135; 27:16.0;122; 06:15.0;118;09:32.0;117;01:16:20.0;45:22.0
57;Edgars Abols;M;;Menn;06:36.0;15;03:53.0;26; 05:12.0;124; 03:09.0;12; 06:35.0;87;00:00:00;135;DNF;
87;Sindre Lidsheim;M;CK Nittedal;Menn;08:09.0;82;13:49.0;140;14:17.0;82; 04:03.0;86; 07:53.0;114;00:00:00;136;DNF;
