Pos Klasse;bib;name;Club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;chiptime;diff;gender
6th;332;Vegar Johannessen;Gresvik IF;Menn EL-sykkel;8:26.00;8;8:45.07;10;8:16.75;9;2:57.23;7;5:56.81;6;1:34.80;7;35:56.66;+6:56.91;M
7th;335;Nils Halvard Nedberg;;Menn EL-sykkel;8:20.93;7;8:02.00;6;8:38.62;10;3:58.43;8;6:01.81;7;1:38.88;8;36:40.67;+7:40.92;M
;322;Tomm Eivind Bjørneseth-Hermansen;;Menn EL-sykkel;7:54.00;5;7:54.25;5;7:28.47;5;9:30.99;9;1:28.08;6;;DNF;DNF;;M
;321;Eirik Tollefsen;Aron Sportsklubb;Menn EL-sykkel;7:10.68;1;7:28.90;3;6:47.47;1;2:09.02;1;;DNF;;DNS;DNF;;M
;336;Frode Kristian Møller Ditlefsen;;Menn EL-sykkel;9:17.05;11;8:24.92;9;7:49.05;8;;DNF;;DNS;;DNS;DNF;;M
;330;Stian Stenkjær;Aron Sportsklubb;Menn EL-sykkel;8:04.62;6;;DNF;;DNS;;DNS;;DNS;;DNS;DNF;;M
;326;Fredrik Lia;;Menn EL-sykkel;;DNF;;DNS;;DNS;;DNS;;DNS;;DNS;DNF;;M
;333;Emil Hetty;Eiker-Kvikk sykkel;Menn EL-sykkel;;;;;;;;;;;;;DNS;;M
;323;Sander Bretvik Gustavsen;Drammen CK;Menn EL-sykkel;;;;;;;;;;;;;DNS;;M
;331;Andreas Karlsen;;Menn EL-sykkel;;;;;;;;;;;;;DNS;;M
;334;Per Erik Kristoffersen;;Menn EL-sykkel;;;;;;;;;;;;;DNS;;M
1st;124;Tobias Malmstrøm-Johansen;Hafrsfjord SK;Menn junior;6:45.50;2;6:48.30;1;6:44.97;2;2:05.95;2;4:22.80;2;1:06.50;3;27:54.02;;M
2nd;132;Bård Gujord Røisli;CK Nittedal;Menn junior;6:43.33;1;7:07.23;3;6:35.00;1;2:11.64;4;4:17.20;1;1:04.90;1;27:59.30;+0:05.28;M
3rd;123;Marius Nakken;;Menn junior;6:47.65;3;6:58.22;2;6:59.67;4;2:02.15;1;4:23.76;3;1:08.68;4;28:20.13;+0:26.11;M
4th;131;Sondre Oldervik Andersen;IF Frøy;Menn junior;6:58.15;4;7:13.50;4;7:09.77;5;2:06.47;3;4:31.30;4;1:06.42;2;29:05.61;+1:11.59;M
5th;130;Simen Føsker;Lørenskog CK;Menn junior;7:04.50;6;7:17.79;5;6:55.22;3;2:16.15;5;4:34.50;5;1:12.10;5;29:20.26;+1:26.24;M
6th;115;Andreas Aaserød Staff;IF Frøy;Menn junior;7:30.13;7;7:58.57;7;8:07.37;6;2:21.39;6;5:05.68;6;1:15.08;6;32:18.22;+4:24.20;M
7th;114;Jon Bache-Wiig;SK Rye sykkel;Menn junior;7:55.91;9;7:50.86;6;8:09.15;7;2:30.50;8;5:14.96;8;1:18.40;7;32:59.78;+5:05.76;M
8th;122;Matteo Dejong;;Menn junior;8:06.30;10;8:00.14;9;8:19.75;8;2:25.78;7;5:06.98;7;1:21.35;8;33:20.30;+5:26.28;M
9th;126;Leon Fredriksen;Lørenskog CK;Menn junior;9:38.03;13;9:03.25;10;10:18.47;10;3:26.82;9;6:30.00;9;1:39.33;9;40:35.90;+12:41.88;M
10th;129;Nikolai Aspenes;IF Frøy;Menn junior;11:49.10;14;11:25.93;12;13:54.87;11;4:28.85;10;7:33.50;10;1:49.81;10;51:02.06;+23:08.04;M
;133;Torjus Sandvik-Are;SK Rye sykkel;Menn junior;7:30.63;8;;DNF;;DNS;;DNS;;DNS;;DNS;DNF;;M
;128;Even Stensland;Modum CK;Menn junior;;DNF;;DNS;;DNS;;DNS;;DNS;;DNS;DNF;;M
;127;Magnus Stige;Molde CK;Menn junior;8:44.68;12;9:07.05;11;;DNF;;DNS;;DNS;;DNS;DNF;;M
;125;Jakob Vebostad;CK NIttedal;Menn junior;7:00.65;5;;DNF;;DNS;;DNS;;DNS;;DNS;DNF;;
;120;Sander Holen Kristoffersen;;Menn junior;8:43.75;11;7:59.69;8;9:23.08;9;;DNF;;DNS;;DNS;DNF;;M
;113;Jasper Johannessen Faurby;CK Nittedal;Menn junior;;;;;;;;;;;;;DNS;;M
;118;Sune Bjerke;SK Rye sykkel;Menn Junior;;;;;;;;;;;;;DNS;;M
;121;Tobias Haugen Opsahl;Asker CK;Menn Junior;;;;;;;;;;;;;DNS;;M
;117;Tallak Hustoft;CK Nittedal;Menn junior;;;;;;;;;;;;;DNS;;M
;119;David Risberg;Sandefjord SK;Menn junior;;;;;;;;;;;;;DNS;;M
;116;Iver Brunborg;Aron Sportsklubb;Menn junior;;;;;;;;;;;;;DNS;;M
;187;Magnus Kahrs;;Menn junior;;;;;;;;;;;;;DNS;;M
;112;Malte Andreas Torp Bure;Gresvik IF;Menn junior;;;;;;;;;;;;;DNS;;M
1st;181;Martin Borge Olsen;Sande SpKl Sykkel;Menn master;6:32.36;1;6:45.35;1;6:37.90;1;2:03.35;1;4:25.05;1;1:08.13;1;27:32.14;;M
2nd;205;Jørn Huseby;Aron Sportsklubb;Menn master;6:49.80;2;7:12.90;2;7:26.07;5;2:15.59;4;4:46.63;2;1:11.90;4;29:42.89;+2:10.75;M
3rd;164;Christopher Christophersen;Hafrsfjord SK;Menn master;7:05.60;3;7:17.70;3;7:17.62;3;2:21.77;7;4:49.65;4;1:10.52;3;30:02.86;+2:30.72;M
4th;210;Kim-Erik Larsen;Moss BMX;Menn master;7:36.15;6;7:22.30;4;7:03.36;2;2:14.17;3;5:12.85;13;1:09.43;2;30:38.26;+3:06.12;M
5th;185;Tommy Pham;Sogn CK;Menn master;7:36.61;7;7:29.15;5;7:18.70;4;2:25.58;9;4:51.79;6;1:16.13;9;30:57.96;+3:25.82;M
6th;201;Eric Aksdal;Bergen MTB Klubb;Menn master;7:47.10;13;7:40.95;10;7:32.61;6;2:20.52;6;4:52.80;7;1:13.48;5;31:27.46;+3:55.32;M
7th;204;Børge Hernes;SK Rye sykkel;Menn master;7:41.55;9;7:29.85;6;7:57.59;14;2:20.03;5;4:52.84;8;1:17.25;11;31:39.11;+4:06.97;M
8th;194;Andreas Horten;;Menn master;7:35.23;5;7:30.12;7;8:01.02;16;2:14.12;2;5:05.32;11;1:13.63;6;31:39.44;+4:07.30;M
9th;192;Frode Falch;SK Rye sykkel;Menn master;7:39.91;8;7:40.72;9;7:42.77;11;2:37.23;15;4:51.54;5;1:14.20;7;31:46.37;+4:14.23;M
10th;209;Kornelius Drange Hole;;Menn master;7:41.63;10;7:57.60;14;7:40.07;8;2:22.17;8;4:54.95;9;1:15.82;8;31:52.24;+4:20.10;M
11th;160;Jon Sandvand;Stovnerkameratene;Menn master;7:41.74;11;7:33.31;8;8:06.73;18;2:37.30;16;4:49.40;3;1:17.58;13;32:06.06;+4:33.92;M
12th;161;Karl Erik Stokke;Aron Sportsklubb;Menn master;7:48.33;14;7:52.52;12;7:52.13;13;2:31.60;12;5:25.10;16;1:17.56;12;32:47.24;+5:15.10;M
13th;146;Anders Nesheim;;Menn master;7:48.43;15;7:56.14;13;7:40.97;9;2:41.80;22;5:24.80;15;1:21.02;14;32:53.16;+5:21.02;M
14th;198;Michal Ciesinski;Aron Sportsklubb;Menn master;7:46.00;12;8:12.80;17;7:41.32;10;2:27.84;10;5:32.61;18;1:16.13;9;32:56.70;+5:24.56;M
15th;159;Christian Andresen;;Menn master;7:54.90;16;8:07.31;16;7:50.85;12;2:35.75;13;5:10.65;12;1:30.53;28;33:09.99;+5:37.85;M
16th;191;Ola Myklatun Krosness;;Menn master;8:00.98;17;8:59.44;33;7:35.25;7;2:35.95;14;4:57.50;10;1:26.85;19;33:35.97;+6:03.83;M
17th;172;Martin Liane;Harstad CK;Menn master;8:24.35;20;8:06.60;15;7:58.37;15;2:30.64;11;5:23.66;14;1:23.84;15;33:47.46;+6:15.32;M
18th;163;William Kempton;;Menn master;8:35.29;22;8:17.20;18;8:03.65;17;2:38.87;19;5:50.96;24;1:27.17;20;34:53.14;+7:21.00;M
19th;173;Henning Brenders;;Menn master;7:32.30;4;7:46.11;11;8:41.12;25;3:37.23;38;5:59.06;29;1:27.71;23;35:03.53;+7:31.39;M
20th;179;Gaute Havik;;Menn master;8:39.98;24;8:41.37;22;8:11.45;19;2:40.45;20;5:29.15;17;1:27.68;22;35:10.08;+7:37.94;M
21st;211;Skarphedinn Halldorsson;;Menn master;8:04.79;18;8:40.45;21;8:18.92;20;2:43.63;23;6:24.25;35;1:25.73;18;35:37.77;+8:05.63;M
22nd;186;Alf-Petter Halle;;Menn master;8:25.41;21;8:46.30;26;8:30.95;22;2:41.53;21;5:47.02;23;1:27.38;21;35:38.59;+8:06.45;M
23rd;154;Marius Minster;Soon CK;Menn master;8:17.60;19;8:31.80;19;8:20.37;21;2:58.95;31;6:02.36;30;1:31.63;31;35:42.71;+8:10.57;M
24th;176;Arjan Boldingh;FTT Oslo Sykkelklubb;Menn master;8:52.75;26;8:44.40;25;8:31.05;23;2:38.86;18;5:37.21;19;1:29.49;26;35:53.76;+8:21.62;M
25th;177;Jarl Jørgensen;;Menn master;8:44.22;25;8:42.14;23;8:51.50;26;2:45.14;24;5:40.79;21;1:28.86;24;36:12.65;+8:40.51;M
26th;182;Øystein Håvarstein;Hafrsfjord SK;Menn master;8:38.40;23;8:48.77;27;8:59.65;30;2:54.90;28;5:40.37;20;1:24.25;16;36:26.34;+8:54.20;M
27th;155;Arne Hanto Moen;;Menn master;9:08.40;30;8:58.21;32;8:52.32;27;2:51.55;25;5:54.89;27;1:29.30;25;37:14.67;+9:42.53;M
28th;156;Jan Henrik Høilund;SK Rye sykkel;Menn master;8:59.68;27;8:43.79;24;9:24.10;34;2:55.77;29;5:42.15;22;1:30.93;29;37:16.42;+9:44.28;M
29th;189;Bjørn Ankre;Stovnerkameratene;Menn master;9:21.05;31;9:00.41;34;8:34.42;24;2:57.72;30;6:02.67;31;1:31.25;30;37:27.52;+9:55.38;M
30th;180;Joachim Bernhardsen;Stovnerkameratene;Menn master;9:21.68;32;8:51.14;28;9:02.85;32;3:00.15;32;5:55.20;28;1:25.46;17;37:36.48;+10:04.34;M
31st;171;Kjetil Voldhaug;Konnerud IL Sykkel;Menn master;9:58.08;37;8:35.92;20;8:54.50;28;2:38.20;17;6:03.00;32;1:33.81;36;37:43.51;+10:11.37;M
32nd;178;Øyvind Nilsen;;Menn master;9:27.96;34;8:57.85;31;8:57.90;29;2:53.65;27;6:08.21;33;1:31.93;33;37:57.50;+10:25.36;M
33rd;199;Martin Stige;Molde CK;Menn master;9:03.88;29;9:18.20;38;9:04.11;33;3:13.53;34;5:52.92;26;1:31.65;32;38:04.29;+10:32.15;M
34th;193;Anders Rox Friberg;;Menn master;9:47.73;36;8:52.70;29;9:29.87;36;3:39.80;39;5:52.20;25;1:29.68;27;39:11.98;+11:39.84;M
35th;174;Iarla Lewis;Hafrsfjord SK;Menn master;9:34.93;35;9:16.02;37;9:26.87;35;3:06.50;33;6:36.05;36;1:34.60;37;39:34.97;+12:02.83;M
36th;183;Kristian Eckhoff;IF Frøy;Menn master;10:04.88;38;9:46.37;39;9:00.52;31;2:53.13;26;6:10.96;34;1:42.61;40;39:38.47;+12:06.33;M
37th;167;Torstein Gimnes Are;SK Rye sykkel;Menn master;9:00.91;28;8:54.44;30;10:08.85;39;3:23.00;36;6:39.77;37;1:32.73;35;39:39.70;+12:07.56;M
38th;206;Olav Rasmussen;Hafrsfjord SK;Menn master;9:25.73;33;9:12.65;36;10:00.56;37;3:23.48;37;6:40.20;38;1:38.40;38;40:21.02;+12:48.88;M
39th;158;Fredrik Nygaard;Drøbak-Frogn IL Sykkel;Menn master;10:14.55;39;9:12.25;35;10:05.57;38;3:18.15;35;6:46.75;39;1:42.60;39;41:19.87;+13:47.73;M
40th;197;Bjarte Samuelsen;CK Haugaland;Menn master;10:31.97;40;11:00.25;40;11:27.67;40;3:41.30;40;7:49.25;40;1:32.60;34;46:03.04;+18:30.90;M
41st;162;Jim Reinhardtsen;;Menn master;13:16.82;41;11:18.95;41;11:27.67;40;4:30.10;41;8:08.69;41;1:52.75;41;50:34.98;+23:02.84;M
;148;Marius Mario Heggli;;Menn master;;DNF;;DNS;;DNS;;DNS;;DNS;;DNS;DNF;;M
;175;Henning Borgersen;Hafrsfjord SK;Menn master;23:53.50;43;;DNF;;DNS;;DNS;;DNS;;DNS;DNF;;M
;151;Geir Sverre Grønås;;Menn master;;DNF;;DNS;;DNS;;DNS;;DNS;;DNS;DNF;;M
;147;Joacim Pedersen;Aron Sportsklubb;Menn master;13:38.72;42;13:34.57;42;13:53.07;42;;DNF;;DNS;;DNS;DNF;;M
;212;Øystein Wallin;Kongsberg IF Sykkel;Menn master;;;;;;;;;;;;;DNS;;M
;153;Christiaan Swart;;Menn master;;;;;;;;;;;;;DNS;;M
;203;Christian Austenå;Arendal CC;Menn master;;;;;;;;;;;;;DNS;;M
;184;Trond Bentzen;Siggerud IL;Menn master;;;;;;;;;;;;;DNS;;M
;200;Kristoffer Rakneberg;Bergen MTB Klubb;Menn master;;;;;;;;;;;;;DNS;;M
;165;Pål Johansen;Aron Sportsklubb;Menn master;;;;;;;;;;;;;DNS;;M
;166;Arild Heimli Johnsen;Kolbotn SK;Menn master;;;;;;;;;;;;;DNS;;M
;152;Stefano Baldari;Mjølkerampa SK;Menn master;;;;;;;;;;;;;DNS;;M
;170;Kim Ståle Haugerø;;Menn master;;;;;;;;;;;;;DNS;;M
;213;Dan Sevaldson;SK Rye sykkel;Menn master;;;;;;;;;;;;;DNS;;M
;190;Thomas Caradec;;Menn master;;;;;;;;;;;;;DNS;;M
;188;Christian Coll;;Menn master;;;;;;;;;;;;;DNS;;M
;208;Fredrik Foerster-Massey;Stovnerkameratene;Menn master;;;;;;;;;;;;;DNS;;M
;157;Torjus Robstad;;Menn master;;;;;;;;;;;;;DNS;;M
;169;Alexander Berg;Moss BMX;Menn master;;;;;;;;;;;;;DNS;;M
;196;Baard Hellebostad;CK Nittedal;Menn master;;;;;;;;;;;;;DNS;;M
;168;Bjørnar Siljan;;Menn master;;;;;;;;;;;;;DNS;;M
;150;Kjell Arne Høyesveen;;Menn master;;;;;;;;;;;;;DNS;;M
;207;Aleksander Imset Wassum;;Menn master;;;;;;;;;;;;;DNS;;M
;149;Anders Samnøy;Aron Sportsklubb;Menn master;;;;;;;;;;;;;DNS;;M
;195;Christopher Russell;Sykkelklubben Skar Oslo;Menn master;;;;;;;;;;;;;DNS;;M
1st;243;Ola Jåvold Landmark;Bærum OCK;Menn senior;6:25.43;3;6:29.56;1;6:24.68;2;1:54.35;2;4:07.38;1;1:03.70;2;26:25.10;;M
2nd;247;Ole-Herman Bergby;IK Hero;Menn senior;6:36.85;4;6:42.62;3;6:21.50;1;1:51.72;1;4:08.60;2;1:02.40;1;26:43.69;+0:18.59;M
3rd;229;Bård Pettersen;Modum CK;Menn senior;6:20.98;2;6:39.80;2;6:24.95;3;2:00.95;3;4:14.35;4;1:09.53;4;26:50.56;+0:25.46;M
4th;239;Fredrik Møller;Oppdal SK;Menn senior;6:42.41;6;6:49.59;5;6:33.08;4;2:03.60;5;4:11.70;3;1:06.59;3;27:26.97;+1:01.87;M
5th;250;Sivert Søby Hedalen;Vestre Aker SK;Menn senior;7:00.28;7;7:07.95;7;6:56.33;6;2:07.20;6;4:30.35;6;1:12.17;5;28:54.28;+2:29.18;M
6th;225;Fridtjof digre;;Menn senior;6:40.15;5;6:45.21;4;6:37.25;5;2:02.65;4;4:20.85;5;3:26.75;15;29:52.86;+3:27.76;M
7th;226;Alexander Halvorsen;Gresvik IF;Menn senior;7:18.81;8;7:29.72;9;7:09.63;8;2:14.62;8;4:44.56;8;1:14.25;8;30:11.59;+3:46.49;M
8th;251;Thomas Rambekk Henriksen;Herkules IF;Menn senior;7:27.68;10;7:47.20;10;7:03.47;7;2:16.65;9;4:38.55;7;1:12.85;6;30:26.40;+4:01.30;M
9th;249;Tarjei Nordbø Braut;NTNUI;Menn senior;8:43.21;18;7:01.32;6;7:33.17;9;2:13.77;7;4:50.60;9;1:13.46;7;31:35.53;+5:10.43;M
10th;227;Oskar Mollatt Wirstad;SK Rye sykkel;Menn senior;7:34.50;11;7:50.40;12;7:40.51;10;2:17.65;10;5:29.62;11;1:16.96;9;32:09.64;+5:44.54;M
11th;224;Dag Lofthus;TVK;Menn senior;7:49.45;13;7:29.44;8;7:52.48;12;2:29.45;11;5:04.76;10;1:29.13;13;32:14.71;+5:49.61;M
12th;235;Philipp Garbers;;Menn senior;8:26.27;15;8:11.50;13;7:43.97;11;2:30.78;12;5:35.32;13;1:23.83;11;33:51.67;+7:26.57;M
13th;240;Luca D'Angelo;Gresvik IF;Menn senior;8:44.40;19;8:15.75;14;8:32.15;15;2:42.15;13;5:33.35;12;1:17.55;10;35:05.35;+8:40.25;M
14th;248;Fredrik Bekkåsen;;Menn senior;8:35.00;17;8:41.41;15;8:26.62;14;2:44.48;14;5:46.95;14;1:39.88;14;35:54.34;+9:29.24;M
15th;232;Truls Lomm;;Menn senior;8:46.33;20;9:19.19;16;8:45.10;16;2:46.85;15;6:10.05;15;1:24.85;12;37:12.37;+10:47.27;M
;231;Henrik Jensen;;Menn senior;8:28.25;16;7:47.75;11;7:59.10;13;;DNF;;DNS;;DNS;DNF;;M
;252;Lachlan Cruickshank;Ryfylke SK;Menn senior;7:43.31;12;;DNF;;DNS;;DNS;;DNS;;DNS;DNF;;M
;234;Simon Risan;SK Rye sykkel;Menn senior;7:23.50;9;;DNF;;DNS;;DNS;;DNS;;DNS;DNF;;M
;241;Lars Dreyer;Hafrsfjord SK;Menn senior;6:18.63;1;;DNF;;DNS;;DNS;;DNS;;DNS;DNF;;M
;244;Eskild Carlsen;Kongsberg IF Sykkel;Menn senior;8:10.54;14;;DNF;;DNS;;DNS;;DNS;;DNS;DNF;;M
;233;Fredrik Håheim Hvaara;;Menn senior;;DNF;;DNS;;DNS;;DNS;;DNS;;DNS;DNF;;M
;237;Bart Visser;;Menn senior;;;;;;;;;;;;;DNS;;M
;236;Simon Andreas Hoff;NTNUI;Menn senior;;;;;;;;;;;;;DNS;;M
;238;Albin Littorin-Sandbu;SK Rye sykkel;Menn senior;;;;;;;;;;;;;DNS;;M
;223;Adam O'reilly;Lillehammer CK;Menn senior;;;;;;;;;;;;;DNS;;M
;222;Even Bekkevold;Aron Sportsklubb;Menn senior;;;;;;;;;;;;;DNS;;M
;228;Andreas Aalby;Asker CK;Menn senior;;;;;;;;;;;;;DNS;;M
;246;Jim-Runar Hansen;Horten og Omegn's Cykleklubb;Menn senior;;;;;;;;;;;;;DNS;;M
;245;Håvard Tverberg;Tinn IL;Menn senior;;;;;;;;;;;;;DNS;;M
;230;Rikard Olav Fosseli-Mogen;;Menn senior;;;;;;;;;;;;;DNS;;M
;242;Haagen Klingen;;Menn senior;;;;;;;;;;;;;DNS;;M
1st;65;Sofie Langum;Aron Sportsklubb;Jenter 15-16;;;10:40.41;1;10:20.69;1;;;7:51.35;1;1:48.21;1;30:40.66;;F
1st;103;Storm Rødby Eilertsen;Aron Sportsklubb;Gutter 15-16;;;6:26.82;1;6:19.94;1;;;4:00.70;1;0:59.95;1;17:47.41;;M
2nd;67;Simen Østraat Hauken;Hafrsfjord SK;Gutter 15-16;;;6:40.28;3;6:27.27;2;;;4:13.84;4;1:05.94;2;18:27.33;+0:39.92;M
3rd;68;Emil Hernes;SK Rye sykkel;Gutter 15-16;;;6:47.45;5;6:37.63;3;;;4:09.36;2;1:07.55;4;18:41.99;+0:54.58;M
4th;86;Sixten Magnus Schybergson;SK Rye sykkel;Gutter 15-16;;;6:36.45;2;6:48.57;5;;;4:18.90;5;1:06.64;3;18:50.56;+1:03.15;M
5th;69;Mikkel Skotte Lauritzen;SK Rye sykkel;Gutter 15-16;;;6:46.10;4;6:56.58;7;;;4:09.69;3;1:10.27;9;19:02.64;+1:15.23;M
6th;102;Aadne Førsund Hjelmtvedt;Re SK;Gutter 15-16;;;7:06.70;8;6:51.12;6;;;4:20.25;6;1:08.39;5;19:26.46;+1:39.05;M
7th;96;Vetle Tyskerud Breivik;;Gutter 15-16;;;6:55.87;6;6:47.39;4;;;4:34.20;8;1:09.45;6;19:26.91;+1:39.50;M
8th;94;Ferdinand Leknes;SK Rye sykkel;Gutter 15-16;;;7:18.71;9;6:57.18;8;;;4:28.05;7;1:15.65;12;19:59.59;+2:12.18;M
9th;73;Sindre Hynne-Øye;CK Nittedal;Gutter 15-16;;;7:00.55;7;7:16.27;10;;;4:36.15;10;1:09.85;8;20:02.82;+2:15.41;M
10th;78;Sverre Heen;Ringerike SK;Gutter 15-16;;;7:25.55;10;7:02.30;9;;;4:35.39;9;1:17.23;16;20:20.47;+2:33.06;M
11th;98;Noa Valbjørk;Gresvik IF;Gutter 15-16;;;7:35.40;11;7:19.50;12;;;4:50.88;12;1:21.12;21;21:06.90;+3:19.49;M
12th;76;Olai Samuelsen;CK Haugaland;Gutter 15-16;;;7:57.04;16;7:16.83;11;;;4:52.55;14;1:14.00;10;21:20.42;+3:33.01;M
13th;105;Thomas Sandvik Reiersen;IF Frøy;Gutter 15-16;;;7:37.60;12;7:33.00;14;;;4:51.10;13;1:21.05;20;21:22.75;+3:35.34;M
14th;80;Eskil Nilsen Stensland;Hafrsfjord SK;Gutter 15-16;;;7:57.22;17;7:30.50;13;;;4:39.65;11;1:15.43;11;21:22.80;+3:35.39;M
15th;104;Aksel Valen-Sendstad;CK Nittedal;Gutter 15-16;;;7:45.95;14;7:41.47;16;;;4:58.20;16;1:18.96;19;21:44.58;+3:57.17;M
16th;99;Oliver Raastad-Hoel;Aron Sportsklubb;Gutter 15-16;;;7:41.60;13;7:57.04;18;;;4:57.60;15;1:09.65;7;21:45.89;+3:58.48;M
17th;75;Levi Johannes Aas;Sandefjord SK;Gutter 15-16;;;8:20.05;23;7:34.53;15;;;5:00.40;18;1:17.20;15;22:12.18;+4:24.77;M
18th;85;Theodor Devik Nesheim;Hafrsfjord SK;Gutter 15-16;;;7:55.30;15;8:05.32;19;;;5:05.90;19;1:16.05;14;22:22.57;+4:35.16;M
19th;97;Trym Teal;Sandefjord SK;Gutter 15-16;;;8:01.01;18;7:47.37;17;;;5:22.60;21;1:18.09;18;22:29.07;+4:41.66;M
20th;72;Andreas Rasmussen;Hafrsfjord SK;Gutter 15-16;;;8:13.35;20;8:40.47;24;;;5:00.00;17;1:15.80;13;23:09.62;+5:22.21;M
21st;100;Erik Landråk;Hafrsfjord SK;Gutter 15-16;;;8:38.91;24;8:13.61;21;;;5:23.55;22;1:35.78;25;23:51.85;+6:04.44;M
