Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City;Status
4;;SOLVEIG;ENGELGJERD;F;;;SS3;Kvinner senior;00:13:20;;;;OK
1;;NILS EINAR;BERGET;M;;;SS4;Menn senior;00:05:33;;;;OK
2;;JOHN OLA;BUØY;M;;;SS4;Menn senior;00:06:01;;;;OK
3;;MARTIN;RØDAHL;M;;;SS4;Menn senior;00:06:03;;;;OK
4;;ANDREAS;ØHRN;M;;;SS4;Menn senior;00:06:12;;;;OK
5;;TROND ERIK;WOLLAN;M;;;SS4;Menn senior;00:06:37;;;;OK
7;;BÅRD;SMESTAD;M;;;SS4;Menn senior;00:06:53;;;;OK
8;;MARIUS;HOPEN;M;;;SS4;Menn senior;00:06:57;;;;OK
9;;FRODE;SØRØY;M;;;SS4;Menn senior;00:06:58;;;;OK
12;;TOV;LERHEIM;M;;;SS4;Menn senior;00:09:30;;;;OK
13;;GUNNAR;BAKKEN;M;;;SS4;Menn senior;00:10:23;;;;OK
14;;BARTEK;WICHROWSKI;M;;;SS4;Menn senior;00:10:40;;;;OK
15;;TORE;VÅGE;M;;;SS4;Menn senior;00:16:19;;;;OK
1;;VERA;LEIVSDOTTIR;F;;;SS4;Kvinner senior;00:06:38;;;;OK
2;;ELIN;BERG;F;;;SS4;Kvinner senior;00:07:21;;;;OK
3;;JULIE H.;APPELKVIST;F;;;SS4;Kvinner senior;00:07:45;;;;OK
