Pos Klasse;bib;name;Club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;chiptime;diff;gender
30th;143;Fredrik Lia;Horten Høkk & Pøkk;Menn åpen klasse 17+;5:56.03;34;4:47.37;28;7:38.40;30;4:35.48;29;6:56.30;34;1:28.33;28;31:21.91;+7:08.87;M
31st;113;Henning Borgersen;Team MSSL;Menn åpen klasse 17+;5:43.33;29;4:54.75;31;7:55.98;32;4:45.79;33;6:39.55;31;1:32.57;33;31:31.97;+7:18.93;M
32nd;145;Per Omar Melilla;;Menn åpen klasse 17+;5:50.89;32;4:58.90;33;8:03.38;36;4:39.50;30;6:40.53;32;1:31.28;32;31:44.48;+7:31.44;M
33rd;136;Jens Andre Jensen;Eiker CK;Menn åpen klasse 17+;6:06.01;35;4:59.89;35;8:02.40;35;4:43.44;32;6:48.85;33;1:34.23;34;32:14.82;+8:01.78;M
34th;127;Simon Hammonds;STRENGTH 2 STRENGTH;Menn åpen klasse 17+;6:44.12;37;5:33.22;37;8:34.75;37;4:59.33;35;6:57.21;35;1:30.65;29;34:19.28;+10:06.24;M
35th;153;Dimitri Rocher;;Menn åpen klasse 17+;6:49.29;38;5:06.90;36;8:01.82;34;5:07.75;36;8:49.32;38;1:35.10;35;35:30.18;+11:17.14;M
36th;158;Stian Sørensen;;Menn åpen klasse 17+;7:06.89;39;5:40.39;39;9:33.88;39;5:37.73;38;8:13.88;36;1:48.53;37;38:01.30;+13:48.26;M
37th;137;Benjamin Jones;;Menn åpen klasse 17+;6:19.21;36;5:34.00;38;10:07.95;40;5:26.00;37;8:45.70;37;1:56.80;38;38:09.66;+13:56.62;M
38th;124;Trond Egil Gjelsvik-Bakke;Hafrsfjord SK;Menn åpen klasse 17+;15:03.65;41;4:57.70;32;7:48.13;31;4:23.44;25;6:32.20;30;1:37.18;36;40:22.30;+16:09.26;M
;121;Maximilian Freiheit;;Menn åpen klasse 17+;5:04.60;10;4:13.10;8;7:04.79;19;;DNF;;DNS;;DNS;DNF;;M
;160;Adam Tumidajewicz;keepingjerrysafe;Menn åpen klasse 17+;5:41.12;28;4:59.00;34;8:57.63;38;;DNF;;DNS;;DNS;DNF;;M
;157;Magnus Svensson;;Menn åpen klasse 17+;7:52.95;40;9:03.19;41;11:56.08;41;;DNF;;DNS;;DNS;DNF;;M
;132;Jørn Huseby;Aron Sportsklubb;Menn åpen klasse 17+;21:17.45;42;8:17.54;40;;;;DNF;;DNS;;DNS;DNF;;M
;108;Henning Ardraa;;Menn åpen klasse 17+;;DNF;;DNS;;DNS;;DNS;;DNS;;DNS;DNF;;M
1st;162;André Jaksland Aamodt;;Menn åpen klasse El-sykkel;4:16.61;1;3:29.90;1;5:44.05;1;3:22.86;1;4:30.82;1;0:59.98;1;22:24.22;;M
2nd;173;Lasse Eriksen Årnes;Aron Sportsklubb;Menn åpen klasse El-sykkel;4:29.67;3;3:38.64;2;5:49.33;2;3:28.07;2;4:45.44;2;1:03.15;2;23:14.30;+0:50.08;M
3rd;172;Are Tallaksrud;Aron Sportsklubb;Menn åpen klasse El-sykkel;4:29.19;2;3:49.80;3;6:01.96;3;3:40.34;3;5:10.97;3;1:09.82;4;24:22.08;+1:57.86;M
4th;166;Andreas Horten;;Menn åpen klasse El-sykkel;4:57.77;4;4:06.50;4;6:34.56;4;3:51.48;4;5:22.08;4;1:09.59;3;26:01.98;+3:37.76;M
5th;169;Christian Moen;Løypelaget Drammen;Menn åpen klasse El-sykkel;5:44.77;9;4:16.25;5;6:52.92;5;4:03.25;5;5:34.75;5;1:13.33;5;27:45.27;+5:21.05;M
6th;170;Roy Ripe;Nesodden SK;Menn åpen klasse El-sykkel;5:19.66;5;4:26.70;6;7:13.08;6;4:08.94;6;5:42.82;6;1:15.13;6;28:06.33;+5:42.11;M
7th;168;Gunnar Lysaker;Kongsberg Nerrover Laug;Menn åpen klasse El-sykkel;5:44.41;8;4:37.88;7;7:13.53;7;4:20.07;7;6:12.60;7;1:29.48;8;29:37.97;+7:13.75;M
8th;165;Thomas Eriksen;;Menn åpen klasse El-sykkel;5:40.63;7;4:40.66;9;7:18.35;8;4:20.46;8;6:27.69;8;1:25.72;7;29:53.51;+7:29.29;M
;163;Jan Aarrestad;Grimstad SK;Menn åpen klasse El-sykkel;6:36.46;10;5:27.97;10;12:01.57;9;;DNF;;DNS;;DNS;DNF;;M
;164;Morten Blom;;Menn åpen klasse El-sykkel;5:32.13;6;4:39.75;8;12:15.62;10;;DNF;;DNS;;DNS;DNF;;M
;171;Petter Solberg Svenne;Aron Sportsklubb;Menn åpen klasse El-sykkel;15:26.30;11;18:49.95;11;;DNF;;DNS;;DNS;;DNS;DNF;;M
5th;191;Pål Grotnes;Gresvik IF;Menn åpen klasse El-sykkel;4:40.69;8;3:57.00;9;6:09.15;5;3:35.20;3;5:03.60;4;1:08.19;6;24:33.83;+1:40.82;M
1st;98;Jo Røisli;CK Nittedal;Menn junior 17-18;4:29.80;1;3:45.30;1;6:00.82;1;3:34.80;1;5:01.04;1;1:13.36;6;24:05.12;;M
2nd;93;Oliver Gjelsvik-Bakke;Hafrsfjord SK;Menn junior 17-18;4:36.87;2;3:52.25;2;6:08.97;2;3:36.36;2;5:02.38;2;1:08.90;3;24:25.73;+0:20.61;M
3rd;104;Fridtjof Digre;SK Rye sykkel;Menn junior 17-18;4:53.12;5;4:00.15;4;6:18.43;3;3:49.10;3;5:27.20;5;1:09.95;4;25:37.95;+1:32.83;M
4th;99;Marius Fenstad Skjærstad;SK Rye sykkel;Menn junior 17-18;4:57.13;6;4:15.50;6;6:31.43;4;3:54.70;5;5:14.77;3;1:05.12;1;25:58.65;+1:53.53;M
5th;103;Vegard Vartdal Sund;Bærum OCK;Menn junior 17-18;4:52.42;4;4:11.20;5;6:34.39;5;3:54.72;6;5:33.80;6;1:11.54;5;26:18.07;+2:12.95;M
6th;100;Sindre Martin Moe Sollund;Molde CK;Menn junior 17-18;4:39.80;3;3:54.61;3;7:50.89;11;3:49.92;4;5:17.88;4;1:08.88;2;26:41.98;+2:36.86;M
7th;101;Sondre Spieler;Kristiansands CK;Menn junior 17-18;5:03.41;7;4:22.71;8;6:57.07;6;4:13.63;9;5:46.03;7;1:14.24;7;27:37.09;+3:31.97;M
8th;102;Amandus Strand;Halden CK;Menn junior 17-18;5:14.60;10;4:32.62;9;7:07.28;7;4:08.95;7;5:49.31;8;1:18.38;8;28:11.14;+4:06.02;M
9th;97;Birk Ballestad Rounge;Bærum OCK;Menn junior 17-18;5:45.31;11;4:57.73;10;7:39.45;9;4:34.64;10;6:46.94;10;1:44.10;11;31:28.17;+7:23.05;M
10th;95;Even Hoem;Kristiansands CK;Menn junior 17-18;11:05.70;12;5:16.52;11;7:42.23;10;4:40.04;11;6:15.86;9;1:24.29;9;36:24.64;+12:19.52;M
11th;94;Jarl Heier;CK Elverum;Menn junior 17-18;5:13.52;9;15:04.46;12;7:29.05;8;4:11.68;8;6:57.62;11;1:26.95;10;40:23.28;+16:18.16;M
;92;Ask Borthne;TVK;Menn junior 17-18;5:05.31;8;4:21.40;7;8:00.89;12;;DNF;;DNS;;DNS;DNF;;M
1st;216;Martin Østberg;Aron Sportsklubb;Menn master 35+;4:14.96;1;3:37.21;1;5:47.75;1;3:22.90;1;4:44.92;1;1:05.27;3;22:53.01;;M
2nd;190;Einar Frønum;Harstad CK;Menn master 35+;4:18.35;2;3:40.50;2;6:03.04;2;3:38.29;5;4:56.25;2;1:04.38;1;23:40.81;+0:47.80;M
3rd;212;Anders Samnøy;Aron Sportsklubb;Menn master 35+;4:25.94;3;3:42.04;3;6:05.57;4;3:35.98;4;5:02.35;3;1:05.05;2;23:56.93;+1:03.92;M
4th;202;Arild Heimli Johnsen;Siggerud IL - sykkel;Menn master 35+;4:32.64;4;3:48.93;5;6:03.78;3;3:33.88;2;5:19.30;11;1:08.07;4;24:26.60;+1:33.59;M
6th;213;Camilo Sanchez;Bogafjell Sykleklubb;Menn master 35+;4:38.09;6;3:54.11;6;6:11.31;6;3:43.19;10;5:14.08;9;1:08.63;7;24:49.41;+1:56.40;M
7th;207;Aslak Mørstad;Siggerud IL - sykkel;Menn master 35+;4:45.88;9;3:56.25;8;6:13.03;7;3:42.56;9;5:07.32;5;1:09.15;8;24:54.19;+2:01.18;M
8th;201;Pål Johansen;Aron Sportsklubb;Menn master 35+;4:36.07;5;3:47.55;4;6:32.30;12;3:41.00;7;5:13.91;8;1:12.13;10;25:02.96;+2:09.95;M
9th;214;Jon Sandvand;Stovnerkameratene;Menn master 35+;5:09.98;17;3:54.69;7;6:25.45;10;3:38.92;6;5:11.17;7;1:08.10;5;25:28.31;+2:35.30;M
10th;188;Audun Flatvad;Bærum OCK;Menn master 35+;4:51.29;11;4:09.61;14;6:25.37;9;3:46.85;11;5:11.00;6;1:19.65;17;25:43.77;+2:50.76;M
11th;187;Frode Falch;SK Rye sykkel;Menn master 35+;4:53.79;12;4:08.71;13;6:29.83;11;4:00.16;16;5:34.86;14;1:17.76;15;26:25.11;+3:32.10;M
12th;211;William Salminen;Harstad CK;Menn master 35+;4:58.68;13;4:07.70;12;6:42.23;14;3:53.71;14;5:34.52;13;1:14.03;11;26:30.87;+3:37.86;M
13th;181;Joachim Bernhardsen;Stovnerkameratene;Menn master 35+;4:59.80;14;4:18.50;20;6:42.60;15;3:57.36;15;5:47.97;17;1:16.33;14;27:02.56;+4:09.55;M
14th;179;Stefano Baldari;Hasle-Løren IL;Menn master 35+;5:11.65;19;4:15.87;16;6:32.81;13;3:50.11;12;5:32.54;12;1:40.95;27;27:03.93;+4:10.92;M
15th;203;Fredrik Krey Berntz;Asker CK;Menn master 35+;5:13.50;20;4:17.40;19;6:53.16;17;4:05.31;19;5:38.83;15;1:16.24;13;27:24.44;+4:31.43;M
16th;177;Bjørn Ankre;Stovnerkameratene;Menn master 35+;5:26.54;23;4:16.56;17;6:54.40;18;4:00.98;17;5:39.34;16;1:15.45;12;27:33.27;+4:40.26;M
17th;186;Kristoffer Eriksen;Aron Sportsklubb;Menn master 35+;5:09.98;17;4:16.64;18;6:57.72;19;4:11.50;20;5:50.70;18;1:20.70;18;27:47.24;+4:54.23;M
18th;180;Trond Bentzen;Siggerud IL - sykkel;Menn master 35+;5:20.27;21;4:28.58;24;7:08.85;21;4:03.50;18;5:59.76;19;1:20.96;19;28:21.92;+5:28.91;M
19th;198;Jan Henrik Høilund;SK Rye sykkel;Menn master 35+;5:42.30;27;4:24.84;22;7:02.42;20;4:17.25;21;6:00.65;20;1:23.58;21;28:51.04;+5:58.03;M
20th;215;Aleksander Imset Wassum;Team Letth;Menn master 35+;5:37.05;25;4:30.50;25;7:22.35;24;4:24.04;23;6:17.40;22;1:21.40;20;29:32.74;+6:39.73;M
21st;182;Arjan Boldingh;FTT Oslo Sykkelklubb;Menn master 35+;5:25.55;22;4:25.81;23;7:21.51;23;4:29.39;25;6:41.35;25;1:27.73;23;29:51.34;+6:58.33;M
22nd;200;Knut Johansen;Eidsvoll SK;Menn master 35+;5:38.05;26;4:43.11;27;7:32.72;25;4:25.70;24;6:20.35;23;1:19.50;16;29:59.43;+7:06.42;M
23rd;178;Håvard Arnstad;SK Rye Sykkel;Menn master 35+;5:45.46;28;4:55.90;29;7:39.30;26;4:30.54;26;6:33.10;24;1:28.48;24;30:52.78;+7:59.77;M
24th;208;Tore Nilsen;Romsås IL sykkel;Menn master 35+;5:32.06;24;4:49.94;28;8:00.79;28;4:22.40;22;6:57.35;27;1:31.99;26;31:14.53;+8:21.52;M
25th;192;Henning Harmens;SK Rye sykkel;Menn master 35+;5:48.95;29;5:21.73;30;7:52.10;27;4:49.42;27;6:50.09;26;1:29.84;25;32:12.13;+9:19.12;M
26th;206;Knut Myre;Andebarkji TSK;Menn master 35+;6:38.00;30;5:29.58;31;8:38.60;29;5:16.80;28;7:52.87;28;1:52.20;29;35:48.05;+12:55.04;M
27th;193;Knut Haugen;Lørenskog CK;Menn master 35+;9:28.95;32;4:31.57;26;7:10.45;22;8:18.25;30;6:15.12;21;1:24.53;22;37:08.87;+14:15.86;M
28th;209;Michael Olofsson;Siggerud IL - sykkel;Menn master 35+;7:21.83;31;5:59.51;32;9:14.60;30;5:38.72;29;8:11.82;29;1:46.28;28;38:12.76;+15:19.75;M
;195;Karsten Hjelseth;IL Heming - sykkelgruppe;Menn master 35+;4:47.04;10;3:58.75;10;;;3:41.56;8;5:14.36;10;1:10.47;9;DNF;;M
;189;Fredrik Foerster-Massey;Stovnerkameratene;Menn master 35+;5:02.30;15;4:10.92;15;6:45.53;16;3:53.23;13;;DNF;;DNS;DNF;;M
;196;Peter Hjertson;SK Rye sykkel;Menn master 35+;4:39.00;7;4:03.93;11;6:21.93;8;;DNF;;DNS;;DNS;DNF;;M
;184;Kristian Eckhoff;SK Rye sykkel;Menn master 35+;5:04.67;16;4:21.46;21;12:48.40;31;;DNF;;DNS;;DNS;DNF;;M
;194;Kristian Hauglum;SK Rye sykkel;Menn master 35+;;DNF;;DNS;;DNS;;DNS;;DNS;;DNS;DNF;;M
1st;227;Even Bekkevold;Aron Sportsklubb;Menn senior 19+;4:10.10;1;3:33.29;2;5:38.15;1;3:19.25;1;4:40.21;1;0:57.27;1;22:18.27;;M
2nd;257;Anders Guttormson Skarstein;Asker CK;Menn senior 19+;4:15.04;3;3:40.04;6;5:47.30;2;3:22.76;2;4:42.53;3;1:00.30;2;22:47.97;+0:29.70;M
3rd;244;Ola Jåvold Landmark;Bærum OCK;Menn senior 19+;4:22.75;6;3:32.84;1;5:47.92;3;3:28.54;4;4:41.79;2;1:01.47;3;22:55.31;+0:37.04;M
4th;252;Bård Pettersen;Modum CK;Menn senior 19+;4:21.97;5;3:35.28;3;5:48.63;4;3:29.45;5;4:44.18;4;1:03.65;6;23:03.16;+0:44.89;M
5th;250;Jonas Oudalstøl;Kristiansands CK;Menn senior 19+;4:12.10;2;3:41.70;8;5:49.54;5;3:28.25;3;4:50.11;6;1:05.78;7;23:07.48;+0:49.21;M
6th;228;Jens Bergmann;IF Frøy;Menn senior 19+;4:15.68;4;3:41.56;7;5:53.07;6;3:33.19;12;4:54.40;8;1:02.74;5;23:20.64;+1:02.37;M
7th;238;Kristian Holiman;SK Rye sykkel;Menn senior 19+;4:28.06;10;3:36.79;4;6:09.81;12;3:31.50;8;4:49.82;5;1:02.17;4;23:38.15;+1:19.88;M
8th;245;Mads Langeland;Kristiansands CK;Menn senior 19+;4:23.65;7;3:44.50;10;6:00.25;8;3:30.81;6;4:51.68;7;1:10.62;17;23:41.51;+1:23.24;M
9th;226;Andreas Aalby;Asker CK;Menn senior 19+;4:27.12;8;3:44.81;11;6:08.82;10;3:33.03;11;5:00.67;9;1:06.77;10;24:01.22;+1:42.95;M
10th;266;Isak Solomon;SK Rye sykkel;Menn senior 19+;4:30.10;11;3:52.02;13;6:05.41;9;3:31.91;9;5:01.50;11;1:08.00;12;24:08.94;+1:50.67;M
11th;259;Torjus Røn Sonerud;Lørenskog CK;Menn senior 19+;4:35.77;13;3:43.00;9;5:59.72;7;3:31.04;7;5:03.95;12;1:18.64;28;24:12.12;+1:53.85;M
12th;232;Olav Engen;SK Rye sykkel;Menn senior 19+;4:36.62;14;3:57.50;16;6:14.59;14;3:43.71;17;5:05.94;13;1:08.70;14;24:47.06;+2:28.79;M
13th;230;Oskar Brækhus;Kongsberg IF Sykkel;Menn senior 19+;4:32.40;12;3:57.85;17;6:14.85;15;3:41.28;14;5:12.62;16;1:08.24;13;24:47.24;+2:28.97;M
14th;233;Vetle Gikling Borthne;TVK;Menn senior 19+;4:27.85;9;3:56.91;14;6:17.12;18;3:40.94;13;5:16.27;19;1:08.98;15;24:48.07;+2:29.80;M
15th;235;Niklas Halvorsen;Kristiansands CK;Menn senior 19+;4:42.75;16;4:05.23;20;6:16.53;17;3:43.45;16;5:06.60;14;1:07.55;11;25:02.11;+2:43.84;M
16th;251;Timothy Pedersen;Asker CK;Menn senior 19+;4:58.50;21;3:50.56;12;6:13.32;13;3:44.00;18;5:13.59;18;1:10.08;16;25:10.05;+2:51.78;M
17th;236;Adrian Hilde;Kristiansands CK;Menn senior 19+;4:41.28;15;4:00.21;18;6:18.96;19;3:45.43;20;5:16.95;20;1:12.39;20;25:15.22;+2:56.95;M
18th;263;Eirik Tollefsen;Aron Sportsklubb;Menn senior 19+;4:50.48;19;3:57.00;15;6:22.36;21;3:45.15;19;5:17.39;21;1:06.73;9;25:19.11;+3:00.84;M
19th;253;David Rentzhog;Fossum IF Sykkel;Menn senior 19+;4:42.75;16;4:22.06;27;6:15.14;16;3:41.88;15;5:11.40;15;1:21.50;29;25:34.73;+3:16.46;M
20th;264;Elias Stokke Tødås;Namdal SK;Menn senior 19+;6:13.48;35;3:38.68;5;6:08.85;11;3:32.48;10;5:00.94;10;1:05.83;8;25:40.26;+3:21.99;M
21st;234;Sander Bretvik Gustavsen;Drammen CK;Menn senior 19+;4:59.91;22;4:07.52;22;6:37.75;24;3:50.66;21;5:13.03;17;1:16.20;25;26:05.07;+3:46.80;M
22nd;255;Daniel Rundereim;Bratt Sykkelklubb;Menn senior 19+;4:43.14;18;4:13.45;25;6:38.48;25;3:59.32;22;5:40.57;25;1:15.25;23;26:30.21;+4:11.94;M
23rd;241;Fredrik Johannessen;Driv Idrettslag;Menn senior 19+;5:11.12;25;4:11.65;23;6:33.02;23;4:02.56;26;5:30.00;23;1:13.96;21;26:42.31;+4:24.04;M
24th;248;Marius Minster;Soon CK;Menn senior 19+;5:14.23;27;4:06.71;21;6:23.88;22;4:14.52;31;5:36.50;24;1:10.87;18;26:46.71;+4:28.44;M
25th;231;Eskild Carlsen;NTNUI;Menn senior 19+;5:17.65;29;4:19.34;26;6:46.65;28;4:02.35;25;5:47.61;28;1:15.75;24;27:29.35;+5:11.08;M
26th;237;Simon Andreas Hoff;NTNUI;Menn senior 19+;5:15.44;28;4:24.72;28;6:49.97;30;4:06.50;28;5:43.48;26;1:14.27;22;27:34.38;+5:16.11;M
27th;239;Daniel Jarstø;Tasta & omegn sykkelklubb;Menn senior 19+;5:08.37;24;4:24.85;29;7:05.38;32;4:01.88;24;5:47.39;27;1:16.28;26;27:44.15;+5:25.88;M
28th;243;Mads Henrik Kjemperud;Modum CK;Menn senior 19+;5:23.14;31;4:35.20;33;6:46.35;26;4:09.41;29;5:55.68;31;1:26.12;32;28:15.90;+5:57.63;M
