Pos Klasse;bib;name;Club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;chiptime;diff;gender
16th;55;Oliver Säfstrøm-Stokke;Aron Sportsklubb;M15-16;;;;;5:42.28;21;7:33.65;12;4:45.94;14;1:12.12;5;19:13.99;+2:02.23;M
17th;68;Jacob Vebostad;CK Nittedal;M15-16;;;;;5:23.73;13;7:41.08;16;4:51.03;18;1:18.93;15;19:14.77;+2:03.01;M
18th;72;Ludvik Bang-Johansen;IF Frøy;M15-16;;;;;5:29.35;16;8:12.19;19;4:48.40;16;1:32.27;22;20:02.21;+2:50.45;M
19th;70;Birk Martinsen;Modum sykkelklubb;M15-16;;;;;5:51.54;22;8:14.78;20;5:21.35;20;1:21.09;18;20:48.76;+3:37.00;M
20th;73;Are E. Thuestad;CK Haugaland;M15-16;;;;;6:47.02;25;9:07.37;22;5:16.46;19;1:27.08;20;22:37.93;+5:26.17;M
21st;48;Kasper Thingelstad Mayer;Modum CK;M15-16;;;;;6:36.83;24;9:03.43;21;5:41.46;22;1:26.83;19;22:48.55;+5:36.79;M
22nd;65;Vetle Lie Karlsen;Re SK;M15-16;;;;;7:29.93;26;9:45.17;23;5:35.22;21;1:31.15;21;24:21.47;+7:09.71;M
;58;Eskil Oudalstøl;Kristiansands CK;M15-16;;;;;4:45.75;1;6:44.05;1;;;DNF;;;;M
;64;Ole Jakob Aas Hersløv;SK Rye sykkel;M15-16;;;;;5:20.53;10;;DNF;;DNS;;;;;M
;49;Tobias Haugen Opsahl;Asker CK;M15-16;;;;;5:38.81;20;;DNF;;DNS;;;;;M
;59;Jonathan Olsen;SK Rye sykkel;M15-16;;;;;6:33.27;23;;DNF;;DNS;;;;;M
1st;100;Tatiana Furnes;Bærum OCK;K Junior 17-18;4:50.83;1;6:00.03;1;5:43.88;1;8:03.97;1;5:02.85;1;1:19.53;1;31:01.09;;F
1st;121;Lise Marie Wiik;;Kvinner Master 35+;6:23.71;4;6:33.11;1;6:24.67;1;8:49.74;1;5:27.44;1;1:24.43;1;35:03.10;;F
2nd;124;Kristel Linnea Mulelid;IF Frøy;Kvinner Master 35+;5:54.85;3;7:25.03;2;6:38.40;2;9:29.15;2;5:57.25;4;1:36.02;3;37:00.70;+1:57.60;F
3rd;122;Ida Karine Nesbø; Siggerud IL – sykkel;Kvinner Master 35+;5:22.58;2;7:52.40;3;7:14.08;3;10:16.96;3;5:54.50;2;1:35.23;2;38:15.75;+3:12.65;F
4th;123;Anna Brandsdal;Romeriksåsen SK;Kvinner Master 35+;5:14.60;1;8:42.95;4;8:10.92;4;10:22.10;4;5:54.57;3;1:48.71;4;40:13.85;+5:10.75;F
1st;196;Anette Røssum Bastnes;Aron Sportsklubb;K Senior 19+;3:51.01;1;5:28.73;1;5:25.94;1;7:30.80;1;4:37.19;1;1:14.85;1;28:08.52;;F
2nd;198;Silje Kreken Almeland;Bærum OCK;Kvinner Senior 19+;4:12.58;2;5:52.01;2;5:46.96;2;8:01.32;2;4:56.64;2;1:19.95;2;30:09.46;+2:00.94;F
3rd;1106;Anna Arvidsson;;Kvinner Senior 19+;4:19.75;3;6:42.22;3;6:58.75;8;8:13.13;3;4:58.33;3;1:24.48;3;32:36.66;+4:28.14;F
4th;193;Mari Elise Hatlo;Aron Sportsklubb;Kvinner Senior 19+;4:31.68;4;6:49.18;4;6:07.46;3;8:58.57;4;5:23.60;4;1:33.71;5;33:24.20;+5:15.68;F
5th;1115;Mari Aarrestad;Siggerud IL – sykkel;Kvinner Senior 19+;4:42.85;5;7:39.11;9;6:55.12;7;9:07.46;5;5:58.59;5;1:29.51;4;35:52.64;+7:44.12;F
6th;194;Liv Onseng;;Kvinner Senior 19+;5:04.48;8;7:26.30;7;6:42.85;5;9:49.25;7;6:15.40;7;1:44.13;7;37:02.41;+8:53.89;F
7th;199;Celine Kirkeng;Aron Sportsklubb;Kvinner Senior 19+;5:22.18;10;7:11.20;5;6:36.26;4;9:48.97;6;6:31.24;9;1:44.35;8;37:14.20;+9:05.68;F
8th;195;Sarah Büll;;Kvinner Senior 19+;4:56.43;6;7:29.77;8;7:28.95;9;10:10.61;9;6:25.87;8;1:41.45;6;38:13.08;+10:04.56;F
9th;1111;Svanhild Helgeland;Ryfylke SK;Kvinner Senior 19+;5:10.20;9;8:24.54;10;6:53.92;6;10:08.92;8;6:13.65;6;1:47.57;9;38:38.80;+10:30.28;F
10th;197;Nina Karlsen;Hafrsfjord SK;Kvinner Senior 19+;5:35.93;11;10:05.48;11;9:43.15;10;12:15.80;10;7:48.17;10;2:05.45;10;47:33.98;+19:25.46;F
;1112;Marthe Eggen;NTNUI;Kvinner Senior 19+;5:01.25;7;7:22.60;6;;DNF;;DNS;;DNS;;DNS;;;F
1st;202;Jostein Hole;Aron Sportsklubb;Menn El-sykkel;2:52.83;1;4:14.84;1;4:21.71;1;5:52.78;1;3:37.46;1;1:04.21;1;22:03.83;;M
2nd;203;Tor Erik Drangsland;Arctic Bike;Menn El-sykkel;3:08.13;2;4:43.96;2;4:51.27;2;6:28.35;2;4:02.38;2;1:10.08;2;24:24.17;+2:20.34;M
3rd;204;Vidar Folden;SK Rye sykkel;Menn El-sykkel;3:28.20;3;5:26.25;4;5:02.12;3;7:06.26;4;4:19.12;4;1:10.20;3;26:32.15;+4:28.32;M
4th;209;Eirik Tollefsen;Aron Sportsklubb;Menn El-sykkel;3:32.30;5;5:17.78;3;5:26.75;5;6:54.32;3;4:17.06;3;1:11.20;4;26:39.41;+4:35.58;M
5th;201;Frode Kristian Møller Ditlefsen;;Menn El-sykkel;3:30.45;4;6:01.80;7;5:27.73;6;7:18.95;6;4:25.19;5;1:16.16;5;28:00.28;+5:56.45;M
6th;207;Jamieson Pothecary;SK Rye sykkel;Menn El-sykkel;3:40.72;7;6:05.75;8;5:47.75;7;7:44.17;8;4:41.51;7;1:20.97;7;29:20.87;+7:17.04;M
7th;200;Michael Wagner;Ravn Idrett;Menn El-sykkel;3:37.25;6;5:56.18;6;6:16.60;8;7:45.35;9;4:56.85;9;1:23.50;8;29:55.73;+7:51.90;M
8th;212;Håkon Granholt;Eidsvoll SK;Menn El-sykkel;3:58.20;11;6:20.90;9;6:17.40;9;7:55.28;10;5:07.53;10;1:20.83;6;31:00.14;+8:56.31;M
9th;210;Gunnar Lysaker;Kongsberg Nerroverlaug;Menn El-sykkel;3:57.65;9;6:40.58;10;6:26.35;10;7:42.95;7;4:48.10;8;1:30.27;11;31:05.90;+9:02.07;M
10th;213;Thomas Eriksen;;Menn El-sykkel;3:46.70;8;7:34.50;12;6:54.55;11;8:14.25;11;5:15.17;11;1:25.45;9;33:10.62;+11:06.79;M
11th;205;Paul Berglund;;Menn El-sykkel;4:23.00;13;8:47.13;13;7:57.95;12;9:36.90;13;6:42.21;13;1:40.45;12;39:07.64;+17:03.81;M
12th;94;Fredrik Flatland;;Menn El-sykkel;4:17.63;12;7:15.80;11;20:18.59;13;8:48.34;12;5:37.03;12;1:30.10;10;47:47.49;+25:43.66;M
;206;Stian Stenkjær;Aron Sportsklubb;Menn El-sykkel;3:57.90;10;5:22.00;4;7:08.13;5;4:28.64;6;5:53.98;5;;DNF;;;M
1st;103;Jo Gujord Røisli;CK Nittedal;M Junior 17-18;3:22.28;2;4:42.60;3;4:37.31;3;6:22.65;2;4:04.25;3;1:06.06;4;24:15.15;;M
2nd;111;Eskil Hafskjold;SK Rye sykkel;M Junior 17-18;3:20.00;1;4:35.48;2;4:35.97;2;6:47.66;4;3:54.77;1;1:04.47;2;24:18.35;+0:03.20;M
3rd;114;Noah Heieren;SK Rye sykkel;M Junior 17-18;4:15.54;16;4:31.98;1;4:23.39;1;6:20.35;1;3:57.10;2;1:03.65;1;24:32.01;+0:16.86;M
4th;108;Oliver Gjelsvik-Bakke;Hafrsfjord SK;M Junior 17-18;3:32.35;4;4:45.34;4;4:39.11;4;7:03.17;9;4:05.35;4;1:07.65;7;25:12.97;+0:57.82;M
5th;110;Alexander Halvorsen;Gresvik IF;M Junior 17-18;3:27.51;3;4:56.03;5;5:02.54;7;6:40.35;3;4:16.37;6;1:06.64;5;25:29.44;+1:14.29;M
6th;105;Adam O'reilly;Lillehammer CK;M Junior 17-18;3:36.29;6;5:13.73;9;4:59.67;5;6:57.26;6;4:30.19;11;1:07.73;8;26:24.87;+2:09.72;M
7th;119;Haakon Rørmyr;Halden CK;M Junior 17-18;3:36.71;7;5:11.17;7;5:12.10;10;6:51.85;5;4:23.85;8;1:12.33;12;26:28.01;+2:12.86;M
8th;101;Jørgen Solås;SK Rye sykkel;M Junior 17-18;3:46.85;11;5:12.91;8;4:59.67;5;7:01.28;8;4:24.33;9;1:09.68;9;26:34.72;+2:19.57;M
9th;120;Amandus Strand;Halden CK;M Junior 17-18;3:40.50;9;5:18.92;10;5:03.13;8;6:59.82;7;4:36.71;12;1:11.63;11;26:50.71;+2:35.56;M
10th;107;Laurits Kjøpstad Høgset;Molde CK;M Junior 17-18;3:49.20;12;5:06.52;6;5:13.18;11;7:29.35;12;4:15.82;5;1:06.75;6;27:00.82;+2:45.67;M
11th;112;Vegard Vartdal Sund;Bærum OCK;M Junior 17-18;3:35.00;5;5:19.33;11;5:17.14;12;7:08.35;10;4:23.78;7;1:26.77;15;27:10.37;+2:55.22;M
12th;113;Marius Fenstad Skjærstad;SK Rye sykkel;M Junior 17-18;3:45.39;10;5:21.08;12;5:33.10;13;7:12.90;11;4:27.91;10;1:05.85;3;27:26.23;+3:11.08;M
13th;104;Jarl Heier;CK Elverum;M Junior 17-18;4:09.44;15;5:43.77;14;5:04.68;9;8:10.08;14;4:47.45;14;1:15.70;13;29:11.12;+4:55.97;M
14th;116;Oskar Myro;SK Rye sykkel;M Junior 17-18;4:01.88;13;5:59.00;15;5:40.53;15;7:36.82;13;4:46.78;13;1:10.77;10;29:15.78;+5:00.63;M
15th;109;Frithjof Nilsen;Bærum OCK;M Junior 17-18;4:07.08;14;6:25.45;16;6:07.45;16;9:07.57;15;5:37.53;15;1:23.54;14;32:48.62;+8:33.47;M
;117;Rasmus Mackenzie;SK Rye sykkel;M Junior 17-18;3:38.48;8;5:39.38;13;5:37.95;14;;DNF;DNF;DNS;;DNS;;;M
;102;Oskar Mollatt Wirstad;SK Rye sykkel;M Junior 17-18;;;;;;DNF;;DNS;;DNS;;DNS;;;M
1st;174;Arild Heimli Johnsen;Siggerud IL – sykkel;Menn master;3:27.48;1;4:57.79;2;4:44.43;2;6:41.87;1;4:05.03;1;1:06.81;2;25:03.41;;M
2nd;130;Martin Borge Olsen;Aron Sportsklubb;Menn master;3:38.23;7;5:01.60;3;4:44.11;1;6:43.60;2;4:12.31;4;1:08.16;3;25:28.01;+0:24.60;M
3rd;125;Kim-Erik Larsen;Moss BMX;Menn master;3:36.52;6;5:02.35;4;4:44.90;3;6:59.59;10;4:13.52;5;1:03.58;1;25:40.46;+0:37.05;M
4th;135;Are Tallaksrud;Aron Sportsklubb;Menn master;3:42.91;11;4:57.37;1;4:48.00;4;6:52.52;6;4:17.59;9;1:08.53;5;25:46.92;+0:43.51;M
5th;169;Kristoffer Rakneberg;Bergen MTB Klubb;Menn master;3:30.93;4;5:08.63;8;4:54.47;7;6:50.57;4;4:17.84;10;1:09.33;6;25:51.77;+0:48.36;M
6th;180;Aslak Mørstad;Siggerud IL – sykkel;Menn master;3:30.53;3;5:24.00;12;5:00.40;10;6:47.74;3;4:09.94;2;1:13.58;18;26:06.19;+1:02.78;M
7th;150;Tommy Pham;Sogn CK;Menn master;3:41.93;10;5:07.58;6;5:00.09;9;6:54.10;7;4:17.58;8;1:10.98;10;26:12.26;+1:08.85;M
8th;187;Sindre Ødemark;Romeriksåsen SK;Menn master;3:39.41;8;5:11.21;10;5:04.75;11;6:55.07;8;4:10.60;3;1:11.47;11;26:12.51;+1:09.10;M
9th;160;Pål Johansen;Aron Sportsklubb;Menn master;3:51.02;18;5:05.75;5;4:50.54;5;6:56.42;9;4:15.12;6;1:13.70;19;26:12.55;+1:09.14;M
10th;165;Karsten Hjelseth;IL Heming - sykkelgruppe;Menn master;3:52.08;20;5:10.68;9;4:51.42;6;7:09.65;11;4:17.29;7;1:10.58;7;26:31.70;+1:28.29;M
11th;136;Jørgen Janshaug Dahlen;Kongsberg IF Sykkel;Menn master;3:46.24;14;5:25.78;15;4:59.60;8;6:52.32;5;4:18.07;11;1:20.25;34;26:42.26;+1:38.85;M
12th;176;Kjetil Øygard;Lillehammer CK;Menn master;3:47.78;15;5:30.21;18;5:09.57;13;7:14.15;12;4:25.96;13;1:11.71;13;27:19.38;+2:15.97;M
13th;173;Jon Sandvand;Stovnerkameratene;Menn master;3:51.47;19;5:17.28;11;5:14.10;16;7:22.51;17;4:25.35;12;1:12.52;15;27:23.23;+2:19.82;M
14th;153;Michal Ciesinski;Aron Sportsklubb;Menn master;3:54.10;23;5:08.30;7;5:11.68;14;7:19.50;15;4:43.75;30;1:08.30;4;27:25.63;+2:22.22;M
15th;138;Martin Liane;Harstad CK;Menn master;3:43.85;12;5:30.25;19;5:14.94;18;7:22.85;18;4:37.45;21;1:16.26;25;27:45.60;+2:42.19;M
16th;189;Morten Pedersen;Team Lavspent;Menn master;3:41.29;9;5:36.18;23;5:14.45;17;7:28.21;19;4:33.06;17;1:13.51;17;27:46.70;+2:43.29;M
17th;154;Kristian Hauglum;SK Rye sykkel;Menn master;3:29.70;2;5:24.03;13;5:54.32;40;7:21.30;16;4:27.85;15;1:10.65;9;27:47.85;+2:44.44;M
18th;181;Kornelius Drange Hole;Kranklaget;Menn master;3:52.10;21;5:24.08;14;5:15.60;19;7:33.17;21;4:35.50;19;1:15.77;23;27:56.22;+2:52.81;M
19th;170;Geir Nummedal;Herkules Heildemparlaug;Menn master;4:15.35;41;5:29.83;17;5:09.25;12;7:33.70;22;4:27.39;14;1:10.58;7;28:06.10;+3:02.69;M
20th;142;Frode Falch;SK Rye sykkel;Menn master;4:11.32;37;5:26.23;16;5:12.41;15;7:34.07;23;4:33.23;18;1:14.20;20;28:11.46;+3:08.05;M
21st;167;Christian Andresen;SK Rye;Menn master;3:53.70;22;5:35.41;20;5:23.85;24;7:18.67;13;4:40.81;24;1:21.56;37;28:14.00;+3:10.59;M
22nd;146;Henning Brenders;Flow Enduro;Menn master;4:18.73;44;5:35.61;21;5:20.35;21;7:18.83;14;4:28.98;16;1:12.32;14;28:14.82;+3:11.41;M
23rd;178;Bjørn Ankre;Stovnerkameratene;Menn master;3:50.50;17;5:47.75;28;5:30.98;28;7:28.95;20;4:35.75;20;1:17.10;27;28:31.03;+3:27.62;M
24th;140;Anders Nesheim;Team Letth;Menn master;3:55.78;24;5:43.39;25;5:22.06;22;7:36.66;24;4:43.10;28;1:15.83;24;28:36.82;+3:33.41;M
25th;149;Alexander Berg;Moss BMX;Menn master;4:11.13;36;5:35.95;22;5:17.03;20;7:38.66;26;4:43.69;29;1:12.73;16;28:39.19;+3:35.78;M
26th;144;Børge Hernes;SK Rye sykkel;Menn master;3:45.08;13;5:59.93;32;5:27.03;25;7:48.15;28;4:41.54;25;1:17.18;28;28:58.91;+3:55.50;M
27th;137;Kristoffer Eriksen;Aron Sportsklubb;Menn master;3:57.07;26;5:51.06;29;5:37.81;34;7:36.85;25;4:42.95;27;1:18.08;29;29:03.82;+4:00.41;M
28th;134;Karl Erik Stokke;Aron Sportsklubb;Menn master;3:48.94;16;5:47.36;27;5:35.81;31;7:54.30;34;4:44.07;31;1:16.27;26;29:06.75;+4:03.34;M
29th;143;Mats Kvaalen;Herkules IF;Menn master;4:06.88;31;5:38.50;24;5:37.58;33;7:39.53;27;4:48.43;35;1:18.93;30;29:09.85;+4:06.44;M
30th;163;Jonas Aksmo;Lofoten SK;Menn master;3:55.85;25;6:09.83;39;5:30.10;27;7:49.83;31;4:46.14;32;1:19.20;32;29:30.95;+4:27.54;M
31st;188;Stian Rismyhr;Siggerud IL – sykkel;Menn master;4:02.76;29;5:53.53;30;5:45.85;36;7:49.38;30;4:46.14;32;1:15.26;22;29:32.92;+4:29.51;M
32nd;161;Stefan Johansson;;Menn master;4:09.22;33;5:59.30;31;5:31.15;29;7:49.09;29;4:51.44;37;1:18.96;31;29:39.16;+4:35.75;M
33rd;151;Marius Langum;Aron Sportsklubb;Menn master;4:00.60;28;5:45.79;26;5:23.58;23;8:32.21;47;4:39.33;23;1:23.68;41;29:45.19;+4:41.78;M
34th;185;Kay Wågbø;Moss BMX;Menn master;3:59.00;27;6:05.00;36;5:48.60;38;7:54.75;35;4:46.25;34;1:22.08;38;29:55.68;+4:52.27;M
35th;126;Aleksander Imset Wassum;Siggerud IL – sykkel;Menn master;4:13.60;39;6:00.88;34;5:47.12;37;7:56.72;36;4:42.07;26;1:21.50;36;30:01.89;+4:58.48;M
36th;183;Christopher Messiha;Kranklaget;Menn master;4:09.41;34;6:01.08;35;5:31.99;30;7:59.31;37;4:56.52;40;1:25.44;45;30:03.75;+5:00.34;M
37th;168;Fredrik Foerster-Massey;Stovnerkameratene;Menn master;4:18.02;43;6:06.71;38;5:56.73;42;7:51.78;32;4:38.65;22;1:14.78;21;30:06.67;+5:03.26;M
38th;132;Henrik Jensen;Horten Høkk &  Pøkk;Menn master;4:03.75;30;6:05.68;37;5:50.53;39;7:53.57;33;4:51.50;38;1:24.65;42;30:09.68;+5:06.27;M
39th;128;Kristian Eckhoff;IF Frøy;Menn master;4:19.33;45;6:30.58;42;5:58.48;44;8:00.16;38;4:53.31;39;1:19.96;33;31:01.82;+5:58.41;M
40th;145;Jan Henrik Høilund;SK Rye sykkel;Menn master;4:19.35;46;6:17.45;41;6:01.91;45;8:01.66;39;4:56.71;42;1:26.80;46;31:03.88;+6:00.47;M
41st;191;Skarphedinn Halldorsson;;Menn master;4:11.93;38;6:12.83;40;5:44.70;35;8:18.12;41;5:19.08;50;1:23.48;40;31:10.14;+6:06.73;M
42nd;152;Are Pedersen;Lauget;Menn master;4:52.87;58;6:00.71;33;5:36.73;32;8:30.08;46;4:59.17;43;1:25.03;44;31:24.59;+6:21.18;M
43rd;127;Risto Scheidl;MILTON Larvik Sportsklubb;Menn master;4:08.85;32;6:44.75;45;5:57.90;43;8:22.26;42;4:56.60;41;1:27.22;47;31:37.58;+6:34.17;M
44th;139;Håvard Arnstad;SK Rye sykkel;Menn master;4:14.25;40;6:41.83;44;5:56.61;41;8:23.17;43;5:16.00;48;1:33.38;53;32:05.24;+7:01.83;M
45th;179;Geir Inge Sandnes;Aron Sportsklubb;Menn master;4:10.19;35;6:55.40;48;6:07.50;46;8:26.21;44;5:10.81;46;1:24.83;43;32:14.94;+7:11.53;M
46th;172;Dani Wold Kristiansen;Intility;Menn master;4:23.97;47;7:07.20;52;6:30.15;52;8:30.07;45;5:08.48;45;1:29.06;50;33:08.93;+8:05.52;M
47th;177;Bjørnar Siljan;;Menn master;4:45.90;55;6:36.61;43;6:25.23;50;8:42.15;49;5:18.16;49;1:21.32;35;33:09.37;+8:05.96;M
48th;129;Fredrik Lia;Horten Høkk & Pøkk;Menn master;4:42.66;53;7:09.09;53;6:14.70;47;8:50.18;51;5:13.62;47;1:22.58;39;33:32.83;+8:29.42;M
49th;133;Johan Harris-Christensen;Horten og Omegn's Cykleklubb;Menn master;4:30.39;48;7:00.65;50;6:26.27;51;8:47.40;50;5:21.98;51;1:34.00;54;33:40.69;+8:37.28;M
50th;141;Fredrik Nygaard;;Menn master;4:42.68;54;7:10.93;54;6:32.25;53;8:40.73;48;5:06.19;44;1:28.86;48;33:41.64;+8:38.23;M
51st;182;Per Nyberg;Drøbak-Frogn IL Sykkel;Menn master;4:40.83;52;6:52.72;47;6:25.12;49;9:00.12;54;5:23.58;52;1:31.84;51;33:54.21;+8:50.80;M
52nd;159;Trond Egil Gjelsvik-Bakke;Hafrsfjord SK;Menn master;4:51.48;57;6:49.38;46;6:17.48;48;8:54.72;52;5:27.25;53;2:09.60;59;34:29.91;+9:26.50;M
53rd;166;Henning Harmens;SK Rye sykkel;Menn master;4:33.20;49;7:04.32;51;6:59.57;55;9:22.96;55;5:38.47;55;1:33.14;52;35:11.66;+10:08.25;M
54th;164;Jens Andre Jensen;Eiker CK;Menn master;4:17.19;42;6:59.95;49;7:00.83;56;10:59.12;59;6:04.56;59;1:42.64;57;37:04.29;+12:00.88;M
55th;147;Mattias Lindqvist;Sagene IF Sykkel;Menn master;4:38.27;51;7:53.05;55;7:18.05;57;10:14.57;57;5:48.79;56;1:35.00;55;37:27.73;+12:24.32;M
56th;192;Ivar Nielsen;;Menn master;4:33.83;50;8:04.78;56;7:41.50;59;9:54.88;56;6:01.85;57;1:49.67;58;38:06.51;+13:03.10;M
57th;156;Michael Olofsson;Siggerud IL – sykkel;Menn master;5:13.98;59;9:03.43;57;7:23.72;58;10:30.85;58;6:03.94;58;1:35.93;56;39:51.85;+14:48.44;M
58th;157;Einar Frønum;Harstad CK;Menn master;3:32.43;5;16:54.29;58;5:29.03;26;8:02.35;40;4:50.47;36;1:11.63;12;40:00.20;+14:56.79;M
59th;186;Per Omar Melilla;Kongsberg IF Sykkel;Menn master;4:46.41;56;21:23.44;59;6:48.02;54;8:58.69;53;5:31.80;54;1:28.89;49;48:57.25;+23:53.84;M
1st;1257;Even Bekkevold;Aron Sportsklubb;Menn Senior 19+;3:25.87;5;4:26.13;2;4:17.00;1;5:57.69;1;3:45.54;2;0:59.53;1;22:51.76;;M
2nd;1253;Bård Pettersen;Modum CK;Menn Senior 19+;3:23.35;4;4:26.18;3;4:28.80;3;6:11.79;2;3:44.05;1;1:02.70;2;23:16.87;+0:25.11;M
