Pos Klasse;bib;name;Club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;chiptime;diff;gender
2nd;329;Andreas Horten;;Menn Elduro;5:46.35;2;6:16.75;1;5:48.10;3;3:44.25;5;6:13.65;2;1:04.60;2;28:53.70;+0:11.98;M
3rd;324;Michal Ciesinski;Aron Sportsklubb;Menn Elduro;5:47.88;3;6:51.61;6;5:40.55;1;3:26.05;1;6:14.93;3;1:01.78;1;29:02.80;+0:21.08;M
4th;341;Trond Normann;;Menn Elduro;5:50.73;4;6:47.92;5;5:54.90;4;3:37.65;4;6:41.60;6;1:11.30;7;30:04.10;+1:22.38;M
5th;332;Sander Bretvik Gustavsen;Drammen CK;Menn Elduro;6:20.21;9;6:30.04;3;5:59.35;5;3:46.72;7;6:26.47;4;1:08.25;4;30:11.04;+1:29.32;M
6th;345;Arild Mathisen;;Menn Elduro;6:10.78;5;6:43.50;4;6:04.81;6;3:44.75;6;6:55.98;9;1:19.40;15;30:59.22;+2:17.50;M
7th;330;Benjamin Jansen;;Menn Elduro;6:19.78;8;7:00.86;9;6:10.14;7;3:37.38;3;6:44.28;7;1:14.15;9;31:06.59;+2:24.87;M
8th;326;Rolf Krogh Hjelmeland;;Menn Elduro;6:22.33;10;6:53.90;7;6:30.12;12;4:02.82;13;6:40.65;5;1:09.98;5;31:39.80;+2:58.08;M
9th;334;Herman Taxerås;Gui Sportsklubb;Menn Elduro;6:17.68;7;7:17.86;12;6:13.36;8;4:00.62;11;6:59.32;10;1:10.23;6;31:59.07;+3:17.35;M
10th;336;Truls Baksetersveen;;Menn Elduro;6:27.00;11;7:05.05;10;6:45.21;16;3:47.20;8;6:44.97;8;1:15.05;11;32:04.48;+3:22.76;M
11th;327;Michael Wagner;;Menn Elduro;6:29.98;12;6:55.50;8;6:14.25;9;3:47.75;9;7:24.93;15;1:12.93;8;32:05.34;+3:23.62;M
12th;344;Rune Dale;;Menn Elduro;6:32.00;13;7:05.42;11;6:30.70;13;4:24.95;17;7:47.83;18;1:14.70;10;33:35.60;+4:53.88;M
13th;322;Jakub Struzinski;;Menn Elduro;6:51.73;15;7:33.20;16;6:28.36;11;4:02.72;12;7:22.02;13;1:17.63;14;33:35.66;+4:53.94;M
14th;328;Fredrik Lia;;Menn Elduro;6:41.73;14;7:27.02;14;6:40.25;15;4:12.72;15;7:23.83;14;1:16.67;13;33:42.22;+5:00.50;M
15th;343;Vegar Johannessen;Gresvik IF;Menn Elduro;7:00.90;17;7:21.70;13;6:39.50;14;4:10.40;14;7:15.33;12;1:23.03;18;33:50.86;+5:09.14;M
16th;339;Nils Halvard Nedberg;;Menn Elduro;7:00.59;16;7:28.50;15;6:50.14;17;4:25.64;18;7:32.43;16;1:20.40;16;34:37.70;+5:55.98;M
17th;325;Rolf Skartveit;Mississippiskogen sti & terrengsykkellag;Menn Elduro;7:18.40;19;7:44.96;17;6:54.35;18;4:13.52;16;7:44.48;17;1:21.53;17;35:17.24;+6:35.52;M
18th;176;Per Kristian Overmo;;Menn Elduro;6:17.10;6;15:52.17;19;6:19.16;10;3:48.71;10;6:59.50;11;1:16.20;12;40:32.84;+11:51.12;M
19th;323;Jan Arvid Askeland;;Menn Elduro;10:17.73;21;9:37.85;18;7:43.56;19;5:07.47;19;8:30.20;19;1:40.97;19;42:57.78;+14:16.06;M
;340;Stian Krogstad;;Menn Elduro;7:17.15;18;36:50.46;20;;DNF;;DNS;;DNS;;DNS;;;M
;331;Sigurd Alfsen;;Menn Elduro;8:50.15;20;;DNF;;DNS;;DNS;;DNS;;DNS;;;M
1st;111;Simen Føsker;Lørenskog CK;Menn junior;5:39.50;1;6:02.65;1;5:30.00;1;3:26.25;1;6:02.10;1;1:03.83;4;27:44.33;;M
2nd;109;Alexander Halvorsen;Gresvik IF;Menn junior;5:50.78;4;6:17.05;2;5:49.00;3;3:31.25;2;6:15.46;2;1:05.87;7;28:49.41;+1:05.08;M
3rd;104;Adam O'reilly;Lillehammer CK;Menn junior;5:41.78;2;6:24.69;3;5:40.55;2;3:40.47;4;6:19.17;3;1:03.03;2;28:49.69;+1:05.36;M
4th;106;Sondre Oldervik Andersen;IF Frøy;Menn junior;5:55.31;5;6:25.25;4;5:55.45;5;3:52.30;6;6:29.85;5;1:01.55;1;29:39.71;+1:55.38;M
5th;105;Mats Laeskogen;;Menn junior;6:17.37;9;6:36.94;7;5:53.16;4;3:38.48;3;6:21.08;4;1:04.53;5;29:51.56;+2:07.23;M
6th;102;Tobias Malmstrøm-Johansen;Hafrsfjord SK;Menn junior;5:58.92;6;6:33.65;6;5:55.70;6;4:17.42;8;6:32.67;6;1:03.43;3;30:21.79;+2:37.46;M
7th;110;Jasper Johannessen Faurby;CK Nittedal;Menn junior;6:12.86;8;6:53.14;10;5:58.67;7;3:42.91;5;6:57.70;7;1:05.05;6;30:50.33;+3:06.00;M
8th;103;Iver Brunborg;Aron Sportsklubb;Menn junior;6:46.25;12;7:31.97;12;6:46.60;12;4:24.02;9;7:14.95;8;1:17.30;8;34:01.09;+6:16.76;M
9th;101;Kasper Thingelstad Mayer;Modum CK;Menn junior;7:26.80;13;8:46.10;13;7:53.06;13;5:20.75;12;8:23.53;9;1:24.75;9;39:14.99;+11:30.66;M
;107;Markus Lia Reenskaug;IF Frøy;Menn junior;6:18.50;10;6:44.45;8;6:17.00;9;4:10.57;7;;DNF;;DNS;;;M
;112;William Johnsen;IF Frøy;Menn junior;6:10.05;7;6:50.19;9;6:27.03;10;4:33.22;10;;DNF;;DNS;;;M
;113;Leon Fredriksen;Lørenskog CK;Menn junior;6:18.80;11;7:15.81;11;6:40.20;11;5:08.80;11;;DNF;;DNS;;;M
;108;Teodor Johnsen Alexander;IF Frøy;Menn junior;5:42.03;3;6:31.25;5;5:59.10;8;;DNF;;DNS;;DNS;;;M
1st;139;Martin Borge Olsen;Aron Sportsklubb;Menn master;5:26.62;1;6:03.60;2;5:31.35;1;3:22.07;1;6:57.78;24;1:01.52;1;28:22.94;;M
2nd;149;Kim-Erik Larsen;Moss BMX;Menn master;5:43.76;3;6:11.73;4;5:36.95;4;3:41.47;6;6:09.66;2;1:01.93;2;28:25.50;+0:02.56;M
3rd;165;Arild Heimli Johnsen;Kolbotn SK;Menn master;5:33.90;2;5:59.90;1;5:33.15;3;4:24.55;32;5:59.55;1;1:02.28;3;28:33.33;+0:10.39;M
4th;169;Anders Ruud Gundersen;;Menn master;5:53.40;8;6:08.69;3;5:33.02;2;3:41.38;5;6:22.60;8;1:08.70;11;28:47.79;+0:24.85;M
5th;166;Ola Myklatun Krosness;;Menn master;5:54.58;10;6:22.11;5;5:45.69;5;3:40.54;4;6:18.68;4;1:10.57;17;29:12.17;+0:49.23;M
6th;172;Jon Sandvand;Stovnerkameratene;Menn master;5:44.75;4;6:24.04;6;5:51.95;8;3:51.06;11;6:18.35;3;1:05.62;5;29:15.77;+0:52.83;M
7th;161;Anders Samnøy;Aron Sportsklubb;Menn master;5:55.23;11;6:26.35;8;5:53.95;11;3:35.67;2;6:22.15;7;1:06.22;6;29:19.57;+0:56.63;M
8th;140;Morten Pedersen;;Menn master;5:47.85;6;6:35.31;13;5:45.94;6;3:46.71;8;6:19.25;5;1:06.25;8;29:21.31;+0:58.37;M
9th;144;Baard Hellebostad;Aron Sportsklubb;Menn master;5:53.48;9;6:25.67;7;5:55.02;13;3:43.82;7;6:20.85;6;1:06.23;7;29:25.07;+1:02.13;M
10th;145;Pål Nakken;Molde CK;Menn master;5:49.18;7;6:37.65;14;5:53.33;9;3:52.14;15;6:22.90;9;1:04.28;4;29:39.48;+1:16.54;M
11th;143;Erik Jarledal;;Menn master;6:10.75;18;6:31.70;9;5:47.32;7;3:36.86;3;6:27.03;10;1:19.88;34;29:53.54;+1:30.60;M
12th;186;Karsten Hjelseth;;Menn master;5:57.08;12;6:32.20;10;5:53.85;10;3:51.87;14;6:36.25;13;1:07.20;9;29:58.45;+1:35.51;M
13th;183;Björn Asplund;Hemsedal IL Sykkel;Menn master;6:03.60;13;6:39.00;16;5:54.00;12;3:51.60;13;6:35.70;11;1:08.85;12;30:12.75;+1:49.81;M
14th;148;Anders Nesheim;;Menn master;6:13.80;20;6:34.46;12;6:03.00;16;3:47.35;9;6:41.01;15;1:11.45;19;30:31.07;+2:08.13;M
15th;131;Karl-Oskar Sæther;Kolbotn SK;Menn master;6:05.84;14;6:44.26;19;6:00.30;15;3:49.25;10;6:42.00;16;1:10.45;16;30:32.10;+2:09.16;M
16th;130;Frode Falch;SK Rye sykkel;Menn master;6:10.15;17;6:33.06;11;6:14.07;22;3:53.12;17;6:36.22;12;1:07.90;10;30:34.52;+2:11.58;M
17th;127;Hans Ivar Ramsøy;Bergen MTB Klubb;Menn master;6:25.35;27;6:38.14;15;6:05.33;18;3:58.49;20;6:39.07;14;1:09.53;15;30:55.91;+2:32.97;M
18th;181;Andreas Ravnestad;;Menn master;6:13.62;19;6:42.83;18;6:03.55;17;3:55.76;19;6:48.05;19;1:13.50;24;30:57.31;+2:34.37;M
19th;177;Gaute Havik;;Menn master;6:15.65;21;6:47.95;20;6:12.10;21;3:52.35;16;6:53.47;20;1:09.33;14;31:10.85;+2:47.91;M
20th;164;Aleksander Imset Wassum;;Menn master;6:26.12;28;6:51.25;23;6:10.05;20;3:51.25;12;6:55.56;22;1:13.95;26;31:28.18;+3:05.24;M
21st;163;William Kempton;;Menn master;6:29.15;31;6:51.35;24;6:17.69;24;3:59.44;22;6:53.73;21;1:11.73;20;31:43.09;+3:20.15;M
22nd;138;Knut Haugen;Lørenskog CK;Menn master;6:28.89;30;7:01.31;27;6:18.00;25;3:59.02;21;6:56.46;23;1:17.30;28;32:00.98;+3:38.04;M
23rd;173;Geir Nummedal;;Menn master;6:46.93;38;6:51.83;25;6:06.77;19;4:08.07;28;6:58.88;25;1:09.19;13;32:01.67;+3:38.73;M
24th;162;Fredrik Foerster-Massey;Stovnerkameratene;Menn master;6:19.65;25;7:31.25;36;6:25.95;26;4:01.75;23;6:46.98;18;1:10.90;18;32:16.48;+3:53.54;M
25th;171;Bjørn Ankre;Stovnerkameratene;Menn master;6:16.14;23;6:48.45;22;7:26.87;39;3:54.82;18;6:46.27;17;1:15.00;27;32:27.55;+4:04.61;M
26th;150;Henrik Jensen;;Menn master;6:31.87;32;7:15.60;30;6:38.10;33;4:02.60;25;7:13.53;28;1:12.50;21;32:54.20;+4:31.26;M
27th;153;Jan Henrik Høilund;SK Rye sykkel;Menn master;6:39.61;34;7:24.05;34;6:36.21;32;4:03.94;26;7:10.38;27;1:19.38;31;33:13.57;+4:50.63;M
28th;157;Karl Erik Stokke;Aron Sportsklubb;Menn master;6:23.00;26;7:25.73;35;6:35.20;29;4:08.17;29;7:32.56;32;1:12.95;23;33:17.61;+4:54.67;M
29th;178;Skarphedinn Halldorsson;;Menn master;6:46.75;37;7:22.30;33;6:36.06;31;4:04.55;27;7:18.41;29;1:17.84;29;33:25.91;+5:02.97;M
30th;142;Kevin Solberg;;Menn master;6:49.95;39;7:15.10;29;6:33.04;28;4:23.35;31;7:20.93;30;1:12.50;21;33:34.87;+5:11.93;M
31st;151;Kjetil Voldhaug;;Menn master;6:38.18;33;7:34.00;37;6:38.35;34;4:31.80;34;7:26.93;31;1:18.76;30;34:08.02;+5:45.08;M
32nd;128;Trond Bentzen;Siggerud IL – sykkel;Menn master;6:59.98;40;7:21.94;32;6:46.30;36;4:15.65;30;7:40.68;33;1:19.65;33;34:24.20;+6:01.26;M
33rd;135;Fredrik Nygaard;Drøbak-Frogn IL Sykkel;Menn master;7:19.06;43;7:52.95;39;6:42.35;35;4:29.76;33;8:25.45;37;1:22.68;35;36:12.25;+7:49.31;M
34th;133;Bjørnar Siljan;;Menn master;7:19.75;44;8:14.50;42;7:12.46;37;4:40.80;36;7:55.09;34;1:19.53;32;36:42.13;+8:19.19;M
35th;180;Mats Richard Mathisen;;Menn master;7:18.95;42;8:09.57;41;7:23.98;38;4:46.65;37;7:58.91;35;1:30.76;38;37:08.82;+8:45.88;M
36th;147;Edmund Høydahl;IF Frøy;Menn master;11:03.82;50;7:17.69;31;6:27.05;27;4:02.23;24;7:09.00;26;1:13.93;25;37:13.72;+8:50.78;M
37th;184;Trond Johannessen;Glåmdal SK;Menn master;7:21.70;45;8:20.63;44;7:36.29;40;5:08.15;40;8:28.25;38;1:25.00;36;38:20.02;+9:57.08;M
38th;158;Jens Andre Jensen;Eiker CK;Menn master;7:46.40;46;8:21.01;45;7:39.80;41;4:56.57;38;8:13.03;36;1:31.30;39;38:28.11;+10:05.17;M
39th;174;Torjus Robstad;;Menn master;7:48.16;47;8:20.40;43;8:03.44;44;5:21.67;42;9:17.68;40;1:36.20;40;40:27.55;+12:04.61;M
40th;141;Knut Myre;Andebarkji TSK;Menn master;7:58.33;49;8:48.83;46;8:04.33;45;5:06.22;39;8:53.52;39;1:45.44;42;40:36.67;+12:13.73;M
41st;182;Rune Aasprong;;Menn master;7:17.05;41;8:06.21;40;7:47.61;43;4:39.59;35;11:50.33;42;1:25.65;37;41:06.44;+12:43.50;M
42nd;152;Marius Knagenhjelm;;Menn master;11:40.38;51;9:09.56;47;7:47.35;42;5:10.95;41;10:07.28;41;1:39.43;41;45:34.95;+17:12.01;M
;137;Alexander Berg;Moss BMX;Menn master;6:41.95;36;7:11.56;28;6:35.55;30;;;DNF;DNS;;DNS;;;M
;155;Nanne Kuiperi;;Menn master;6:06.92;15;7:51.60;38;;DNF;;DNF;;DNS;;DNS;;;M
;167;Peter Hjertson;SK Rye sykkel;Menn master;6:15.78;22;6:53.15;26;6:17.06;23;;DNF;DNF;DNS;;DNS;;;M
;156;Henning Brenders;;Menn master;6:07.15;16;6:40.36;17;6:00.15;14;;DNF;DNF;DNS;;DNS;;;M
;185;Glenn Walberg;;Menn master;6:40.23;35;11:51.64;49;;DNF;;DNS;;DNS;;DNS;;;M
;160;Petter Bjertnæs Nilsson;;Menn master;7:56.23;48;10:08.17;48;;DNF;;DNS;;DNS;;DNS;;;M
;129;Geir Inge Sandnes;Aron Sportsklubb;Menn master;6:26.79;29;28:31.86;50;;DNF;;DNS;;DNS;;DNS;;;M
;168;Christian Andresen;;Menn master;6:18.13;24;6:48.36;21;;DNF;;DNS;;DNS;;DNS;;;M
;134;Kristoffer Rakneberg;Bergen MTB Klubb;Menn master;5:45.35;5;;DNF;;DNS;;DNS;;DNS;;DNS;;;M
1st;208;Even Bekkevold;Aron Sportsklubb;Menn senior;5:01.15;1;5:34.50;1;5:15.65;4;3:10.22;2;5:33.71;1;0:53.58;1;25:28.81;;M
2nd;225;Jo Gujord Røisli;CK Nittedal;Menn senior;5:15.68;5;5:54.44;5;5:04.20;1;3:09.64;1;5:40.60;2;0:59.68;4;26:04.24;+0:35.43;M
3rd;213;Bård Pettersen;Modum CK;Menn senior;5:11.16;2;5:44.60;2;5:11.50;2;3:14.68;4;5:44.38;4;0:58.60;2;26:04.92;+0:36.11;M
4th;223;Ola Jåvold Landmark;Bærum OCK;Menn senior;5:20.75;6;5:46.65;3;5:13.55;3;3:12.75;3;5:43.60;3;0:58.85;3;26:16.15;+0:47.34;M
5th;249;Kristian Holiman;SK Rye sykkel;Menn senior;5:14.16;3;5:49.21;4;5:25.50;7;3:22.92;6;5:51.50;5;1:00.98;5;26:44.27;+1:15.46;M
6th;229;Fredrik Møller;Oppdal SK;Menn senior;5:14.96;4;6:12.52;8;5:20.30;5;3:17.44;5;5:59.53;6;1:04.73;11;27:09.48;+1:40.67;M
7th;222;Thomas Rambekk Henriksen;Herkules IF;Menn senior;5:31.31;7;6:00.91;6;5:22.50;6;3:36.10;10;6:32.20;15;1:01.53;8;28:04.55;+2:35.74;M
8th;210;Isak Solomon;SK Rye sykkel;Menn senior;5:37.15;9;6:19.71;9;5:38.25;8;3:32.13;8;6:15.48;7;1:04.68;10;28:27.40;+2:58.59;M
9th;253;Jørgen Dahle Bakken;Oppdal SK;Menn senior;5:35.06;8;6:08.15;7;5:43.20;9;3:33.27;9;6:17.56;8;1:17.33;34;28:34.57;+3:05.76;M
10th;230;Christopher Christophersen;;Menn senior;5:51.29;13;6:22.10;12;5:47.80;12;3:30.95;7;6:21.72;9;1:07.80;16;29:01.66;+3:32.85;M
11th;204;Oskar Mollatt Wirstad;SK Rye sykkel;Menn senior;5:41.53;10;6:23.57;13;5:49.12;13;3:41.75;14;6:25.83;11;1:03.88;9;29:05.68;+3:36.87;M
12th;202;Lachlan Cruickshank;Ryfylke SK;Menn senior;5:49.81;12;6:20.25;10;5:44.07;10;3:43.92;16;6:25.06;10;1:06.70;12;29:09.81;+3:41.00;M
13th;238;Oscar Saksvik;NTNUI;Menn senior;5:43.68;11;6:30.05;16;5:52.96;14;3:41.55;13;6:28.42;14;1:01.42;7;29:18.08;+3:49.27;M
14th;232;Martin Kvisler;;Menn senior;5:57.97;15;6:29.64;15;5:46.10;11;3:39.05;11;6:27.83;13;1:01.30;6;29:21.89;+3:53.08;M
15th;205;Eskild Carlsen;NTNUI;Menn senior;6:00.67;16;6:27.35;14;5:57.90;15;3:41.21;12;6:38.21;17;1:07.48;15;29:52.82;+4:24.01;M
16th;243;Daniel Prince;IF Frøy;Menn senior;6:15.09;22;6:33.02;17;6:06.77;20;3:42.50;15;6:27.27;12;1:09.18;18;30:13.83;+4:45.02;M
17th;217;Magnus Nordistuen Løvik;Aron Sportsklubb;Menn senior;6:15.88;23;6:49.80;20;6:04.10;17;3:48.55;17;6:37.20;16;1:08.89;17;30:44.42;+5:15.61;M
18th;245;Amandus Strand;Halden CK;Menn senior;6:11.60;18;6:35.64;18;5:59.22;16;4:16.80;29;6:44.14;19;1:06.70;12;30:54.10;+5:25.29;M
19th;199;Eirik Blomseth;;Menn senior;6:19.58;25;6:37.64;19;6:11.60;24;4:01.22;24;6:38.63;18;1:06.75;14;30:55.42;+5:26.61;M
20th;236;Simon Andreas Hoff;NTNUI;Menn senior;6:11.88;19;7:02.71;31;6:04.36;18;3:55.37;20;6:51.61;23;1:09.65;21;31:15.58;+5:46.77;M
21st;237;Marius Minster;Soon CK;Menn senior;6:18.98;24;6:56.76;24;6:14.71;26;4:00.32;22;6:45.35;21;1:11.44;25;31:27.56;+5:58.75;M
22nd;224;Torje Vedvik;Sykkylven SK;Menn senior;6:33.85;33;6:55.35;22;6:12.75;25;3:55.32;19;6:44.48;20;1:10.50;23;31:32.25;+6:03.44;M
23rd;242;Fredrik Bekkåsen;;Menn senior;6:23.95;28;6:59.16;28;6:10.20;22;4:01.35;25;6:49.35;22;1:09.38;20;31:33.39;+6:04.58;M
24th;252;Tarjei Nordbø Braut;Hafrsfjord SK;Menn senior;6:13.71;20;6:58.25;26;6:04.70;19;4:13.07;28;7:00.40;27;1:11.43;24;31:41.56;+6:12.75;M
25th;219;Knut Trøim;;Menn senior;6:24.73;29;6:57.96;25;6:22.59;30;3:56.57;21;6:54.66;25;1:12.25;28;31:48.76;+6:19.95;M
26th;206;Tobias Bjerknes;CK Nittedal;Menn senior;6:19.61;26;6:58.26;27;6:19.77;27;4:00.48;23;7:16.46;31;1:14.61;33;32:09.19;+6:40.38;M
27th;248;Douglas Thom;;Menn senior;6:14.43;21;7:31.40;36;6:10.29;23;4:04.91;27;6:57.55;26;1:11.90;27;32:10.48;+6:41.67;M
28th;233;Jarl Heier;CK Elverum;Menn senior;6:30.45;31;7:00.23;30;6:29.25;33;3:55.07;18;7:01.13;28;1:14.55;31;32:10.68;+6:41.87;M
29th;215;Aitor Urquiza;;Menn senior;6:06.55;17;6:55.85;23;6:39.95;36;4:31.28;34;6:54.00;24;1:09.35;19;32:16.98;+6:48.17;M
30th;200;Jarl Jørgensen;;Menn senior;6:36.50;34;6:59.20;29;6:21.73;28;4:04.28;26;7:16.95;33;1:11.80;26;32:30.46;+7:01.65;M
31st;214;Øystein Håvarstein;Hafrsfjord SK;Menn senior;6:31.07;32;7:13.85;34;6:23.30;31;4:39.42;38;7:16.52;32;1:17.45;35;33:21.61;+7:52.80;M
32nd;251;Samuel Haugum;;Menn senior;6:39.28;35;7:09.30;33;6:30.60;34;4:19.18;31;7:25.93;34;1:19.95;37;33:24.24;+7:55.43;M
33rd;239;Andreas Halvorsen;;Menn senior;6:42.23;36;7:35.13;40;7:02.84;40;4:24.88;33;7:26.97;35;1:14.55;31;34:26.60;+8:57.79;M
34th;201;Øyvind Nilsen;;Menn senior;6:45.00;38;7:33.40;37;6:53.48;38;4:18.31;30;7:37.81;36;1:19.11;36;34:27.11;+8:58.30;M
35th;226;Piotr Dolatowski;;Menn senior;7:09.45;42;7:33.50;38;6:38.66;35;4:32.35;35;7:15.51;30;1:24.23;41;34:33.70;+9:04.89;M
36th;212;Luca D'Angelo;;Menn senior;6:44.08;37;7:45.92;41;6:53.92;39;4:22.40;32;7:40.45;37;1:13.03;29;34:39.80;+9:10.99;M
37th;228;Teodor Wedum;Hafjell Freeride Klubb;Menn senior;7:16.25;43;6:53.94;21;6:21.98;29;5:11.87;40;7:47.58;38;1:13.66;30;34:45.28;+9:16.47;M
38th;247;Axel Torjesen;;Menn senior;7:05.08;41;7:28.91;35;6:45.24;37;4:36.36;37;7:56.23;39;1:20.78;38;35:12.60;+9:43.79;M
39th;254;Martin Lien-Aas;Hafrsfjord SK;Menn senior;7:04.62;40;7:56.45;42;7:04.70;42;4:40.38;39;8:11.00;40;1:22.20;39;36:19.35;+10:50.54;M
40th;216;Henning Borgersen;Hafrsfjord SK;Menn senior;7:57.80;46;8:10.90;43;7:27.30;44;4:32.42;36;8:23.28;43;1:23.78;40;37:55.48;+12:26.67;M
41st;244;David Hushovd;;Menn senior;8:11.50;47;9:07.69;46;7:49.20;45;5:13.50;41;8:22.50;42;1:32.10;42;40:16.49;+14:47.68;M
;241;Luis Pereira;;Menn senior;8:39.36;48;;DNF;;DNS;;DNS;;DNS;;DNS;;;M
;234;Klym Danish;;Menn senior;6:55.75;39;7:34.15;39;7:04.32;41;8:21.18;41;;DNF;;DNS;;;M
;220;Alexander Olsen;;Menn senior;7:51.89;45;9:03.35;45;7:53.41;46;;DN»F;;DNS;;DNS;;;M
;207;Joakim Melby;;Menn senior;6:20.85;27;7:03.68;32;6:23.80;32;;7:04.13;29;1:09.76;22;DNF;;;M
;240;Erlend Ruud;NTNUI;Menn senior;6:29.08;30;12:16.60;47;;DNF;;DNS;;DNS;;DNS;;;M
;235;Tore Nilsen;Romsås IL sykkel;Menn senior;7:42.01;44;8:57.65;44;7:26.46;43;;DNF;;DNS;;DNS;;;M
;211;Pål Johansen;Aron Sportsklubb;Menn senior;5:52.83;14;6:21.51;11;6:08.40;21;;DNF;;DNS;;DNS;;;M
;231;Konrad Satro;;Menn senior;13:47.47;49;DNF;DNF;;DNS;;DNS;;DNS;;DNS;;;M
1st;52;Martine Sulen Bjørkly; Bergen CK;Jenter 15-16;;;;;6:22.71;1;4:30.67;1;7:19.30;1;1:14.20;1;19:26.88;;F
;51;Oliane Slevigen;;Jenter 15-16;;;;;8:48.70;2;7:25.02;2;;DNF;;DNS;;;F
;53;Emily Skeie-Lebreux;CK Nittedal;Jenter 15-16;;;;;;DNF;;DNS;;DNS;;DNS;;;F
1st;60;Mikkel Skotte Lauritzen;SK Rye sykkel;Gutter 15-16;;;;;5:34.07;2;3:26.61;3;6:07.47;2;1:00.20;1;16:08.35;;M
